episode,scene,n_frames,path_m,clear_min_m,clear_med_m,goal_std,goal_ok
gen_kujiale_0092_0700,kujiale_0092,49,4.99,0.25,0.56,47.7,True
gen_kujiale_0092_0701,kujiale_0092,33,3.37,0.39,0.66,41.6,True
gen_kujiale_0092_0702,kujiale_0092,29,2.98,0.6,0.85,33.2,True
gen_kujiale_0092_0703,kujiale_0092,27,2.8,0.45,0.81,38.4,True
gen_kujiale_0092_0704,kujiale_0092,30,3.05,0.39,0.7,32.8,True
gen_kujiale_0092_0705,kujiale_0092,34,3.4,0.43,0.7,44.1,True
gen_kujiale_0092_0706,kujiale_0092,47,4.79,0.25,0.74,54.0,True
gen_kujiale_0092_0707,kujiale_0092,30,3.01,0.55,0.88,39.1,True
gen_kujiale_0092_0708,kujiale_0092,25,2.59,0.35,0.99,51.9,True
gen_kujiale_0092_0709,kujiale_0092,28,2.84,0.35,0.57,50.2,True
gen_kujiale_0118_0700,kujiale_0118,58,5.86,0.75,0.75,3.1,False
gen_kujiale_0118_0701,kujiale_0118,42,4.21,0.3,0.4,37.4,True
gen_kujiale_0118_0702,kujiale_0118,54,5.44,0.3,0.4,34.8,True
gen_kujiale_0118_0703,kujiale_0118,50,5.0,0.28,0.9,50.2,True
gen_kujiale_0118_0704,kujiale_0118,29,2.92,0.25,0.55,44.5,True
gen_kujiale_0118_0705,kujiale_0118,34,3.4,0.3,1.35,2.2,False
gen_kujiale_0118_0706,kujiale_0118,29,2.99,0.25,0.65,42.1,True
gen_kujiale_0118_0707,kujiale_0118,31,3.13,0.7,1.35,3.2,False
gen_kujiale_0118_0708,kujiale_0118,24,2.45,0.35,0.65,44.3,True
gen_kujiale_0118_0709,kujiale_0118,35,3.52,0.7,0.7,3.3,False
gen_kujiale_0203_0700,kujiale_0203,26,2.63,0.49,0.66,37.8,True
gen_kujiale_0203_0701,kujiale_0203,61,6.16,0.5,0.58,43.8,True
gen_kujiale_0203_0702,kujiale_0203,28,2.83,0.25,0.43,43.7,True
gen_kujiale_0203_0703,kujiale_0203,38,3.87,0.25,0.39,37.1,True
gen_kujiale_0203_0704,kujiale_0203,49,4.99,0.4,0.74,37.1,True
gen_kujiale_0203_0705,kujiale_0203,27,2.75,0.55,0.55,44.4,True
gen_kujiale_0203_0706,kujiale_0203,35,3.57,0.28,0.35,46.5,True
gen_kujiale_0203_0707,kujiale_0203,25,2.55,0.25,0.55,41.3,True
gen_kujiale_0203_0708,kujiale_0203,59,5.97,0.25,0.45,40.5,True
gen_kujiale_0203_0709,kujiale_0203,32,3.27,0.3,0.51,37.2,True
