episode,scene,seed,n_frames,path_m,clear_min_m,goal_std,goal_ok
gen_kujiale_0092_0700,kujiale_0092,7,49,4.99,0.25,47.7,True
gen_kujiale_0092_0701,kujiale_0092,7,33,3.37,0.39,41.6,True
gen_kujiale_0092_0702,kujiale_0092,7,29,2.98,0.6,33.2,True
gen_kujiale_0092_0703,kujiale_0092,7,27,2.8,0.45,38.4,True
gen_kujiale_0092_0704,kujiale_0092,7,30,3.05,0.39,32.8,True
gen_kujiale_0092_0705,kujiale_0092,7,34,3.4,0.43,44.1,True
gen_kujiale_0092_0706,kujiale_0092,7,47,4.79,0.25,54.0,True
gen_kujiale_0092_0707,kujiale_0092,7,30,3.01,0.55,39.1,True
gen_kujiale_0092_0708,kujiale_0092,7,25,2.59,0.35,51.9,True
gen_kujiale_0092_0709,kujiale_0092,7,28,2.84,0.35,50.2,True
gen_kujiale_0092_1100,kujiale_0092,11,22,2.25,0.35,55.8,True
gen_kujiale_0092_1101,kujiale_0092,11,57,5.78,0.35,44.1,True
gen_kujiale_0092_1102,kujiale_0092,11,42,4.27,0.25,40.0,True
gen_kujiale_0092_1103,kujiale_0092,11,28,2.84,0.25,48.8,True
gen_kujiale_0092_1104,kujiale_0092,11,29,2.94,0.54,34.4,True
gen_kujiale_0092_1105,kujiale_0092,11,27,2.79,0.3,54.7,True
gen_kujiale_0092_1106,kujiale_0092,11,24,2.48,0.66,48.9,True
gen_kujiale_0092_1107,kujiale_0092,11,22,2.27,0.35,61.2,True
gen_kujiale_0092_1108,kujiale_0092,11,40,4.0,0.6,47.0,True
gen_kujiale_0092_1109,kujiale_0092,11,27,2.79,0.3,32.4,True
gen_kujiale_0092_1110,kujiale_0092,11,25,2.53,0.32,42.1,True
gen_kujiale_0092_1111,kujiale_0092,11,31,3.1,0.4,42.0,True
gen_kujiale_0092_1112,kujiale_0092,11,39,3.94,0.46,44.3,True
gen_kujiale_0092_1113,kujiale_0092,11,28,2.82,0.35,51.2,True
gen_kujiale_0092_1114,kujiale_0092,11,26,2.69,0.32,52.6,True
gen_kujiale_0092_1115,kujiale_0092,11,26,2.62,0.3,38.5,True
gen_kujiale_0092_1116,kujiale_0092,11,26,2.64,0.35,45.2,True
gen_kujiale_0092_1117,kujiale_0092,11,43,4.37,0.3,61.4,True
gen_kujiale_0092_1118,kujiale_0092,11,21,2.16,0.28,62.3,True
gen_kujiale_0092_1119,kujiale_0092,11,26,2.7,0.25,55.8,True
gen_kujiale_0092_1120,kujiale_0092,11,31,3.14,0.3,60.7,True
gen_kujiale_0092_1121,kujiale_0092,11,21,2.17,0.3,43.0,True
gen_kujiale_0092_1122,kujiale_0092,11,37,3.71,0.35,39.2,True
gen_kujiale_0092_1123,kujiale_0092,11,32,3.29,0.35,40.5,True
gen_kujiale_0092_1124,kujiale_0092,11,44,4.42,0.28,54.3,True
gen_kujiale_0092_1125,kujiale_0092,11,25,2.51,0.3,45.6,True
gen_kujiale_0092_1126,kujiale_0092,11,21,2.18,0.4,39.0,True
gen_kujiale_0092_1127,kujiale_0092,11,22,2.28,0.39,36.9,True
gen_kujiale_0092_1128,kujiale_0092,11,56,5.61,0.28,53.2,True
gen_kujiale_0092_1129,kujiale_0092,11,26,2.65,0.3,33.9,True
gen_kujiale_0092_1130,kujiale_0092,11,45,4.51,0.4,39.2,True
gen_kujiale_0092_1131,kujiale_0092,11,34,3.43,0.25,35.0,True
gen_kujiale_0092_1132,kujiale_0092,11,24,2.49,0.45,54.5,True
gen_kujiale_0092_1133,kujiale_0092,11,32,3.25,0.35,42.5,True
gen_kujiale_0118_0701,kujiale_0118,7,42,4.21,0.3,37.4,True
gen_kujiale_0118_0702,kujiale_0118,7,54,5.44,0.3,34.8,True
gen_kujiale_0118_0703,kujiale_0118,7,50,5.0,0.28,50.2,True
gen_kujiale_0118_0704,kujiale_0118,7,29,2.92,0.25,44.5,True
gen_kujiale_0118_0706,kujiale_0118,7,29,2.99,0.25,42.1,True
gen_kujiale_0118_0708,kujiale_0118,7,24,2.45,0.35,44.3,True
gen_kujiale_0118_1200,kujiale_0118,12,29,2.91,0.46,44.9,True
gen_kujiale_0118_1201,kujiale_0118,12,25,2.53,0.35,37.2,True
gen_kujiale_0118_1202,kujiale_0118,12,30,3.04,0.55,44.4,True
gen_kujiale_0118_1203,kujiale_0118,12,45,4.52,0.25,49.2,True
gen_kujiale_0118_1204,kujiale_0118,12,49,4.94,0.49,47.6,True
gen_kujiale_0118_1205,kujiale_0118,12,51,5.16,0.25,51.2,True
gen_kujiale_0118_1206,kujiale_0118,12,22,2.21,0.32,47.9,True
gen_kujiale_0118_1207,kujiale_0118,12,33,3.39,0.3,57.1,True
gen_kujiale_0118_1208,kujiale_0118,12,48,4.85,0.3,38.1,True
gen_kujiale_0118_1209,kujiale_0118,12,22,2.23,0.4,46.7,True
gen_kujiale_0118_1210,kujiale_0118,12,57,5.77,0.35,37.9,True
gen_kujiale_0118_1211,kujiale_0118,12,23,2.31,0.32,45.1,True
gen_kujiale_0118_1212,kujiale_0118,12,28,2.81,0.27,84.1,True
gen_kujiale_0118_1213,kujiale_0118,12,25,2.5,0.35,48.0,True
gen_kujiale_0118_1214,kujiale_0118,12,31,3.15,0.39,47.6,True
gen_kujiale_0118_1215,kujiale_0118,12,40,4.05,0.25,46.8,True
gen_kujiale_0118_1216,kujiale_0118,12,28,2.82,0.3,46.8,True
gen_kujiale_0118_1217,kujiale_0118,12,58,5.84,0.35,18.4,True
gen_kujiale_0118_1218,kujiale_0118,12,30,3.06,0.45,41.1,True
gen_kujiale_0118_1219,kujiale_0118,12,28,2.84,0.25,42.9,True
gen_kujiale_0118_1220,kujiale_0118,12,22,2.23,0.5,53.0,True
gen_kujiale_0118_1221,kujiale_0118,12,30,3.08,0.52,47.2,True
