episode,goal_id,split,n_frames
authcmp_D_baseline_20260708_145214,hospital_holdout_short_D,test,36
authcmp_D_stopauth_20260708_145306,hospital_holdout_short_D,test,22
authcmp_E_baseline_20260708_145441,hospital_holdout_medium_E,test,44
authcmp_E_stopauth_20260708_145535,hospital_holdout_medium_E,test,33
dash_hospital_goal_A_214942_20260708_215025,hospital_goal_A,train,26
hospital_low_curvature_C_20260708_143004,hospital_goal_C,val,40
hospital_straight_medium_B_20260708_142905,hospital_goal_B,val,52
hospital_straight_short_A_20260708_142512,hospital_goal_A,train,22
hospital_straight_short_A_20260708_142753,hospital_goal_A,train,31
livefinal_low_curvature_20260708_180949,hospital_goal_C,val,40
livefinal_straight_medium_20260708_180855,hospital_goal_B,val,52
livefinal_straight_short_20260708_180802,hospital_goal_A,train,36
normcmp_F_baseline_20260708_153134,hospital_fresh_short_F,train,35
normcmp_F_stopauth_20260708_153225,hospital_fresh_short_F,train,20
normcmp_G_baseline_20260708_153849,hospital_fresh_medium_G,test,43
normcmp_G_stopauth_20260708_153944,hospital_fresh_medium_G,test,29
physeval_base_A_20260708_172420,hospital_goal_A,train,36
physeval_base_D_20260708_172509,hospital_holdout_short_D,test,36
physeval_base_F_20260708_172559,hospital_fresh_short_F,train,36
physeval_collision_control2_20260708_173407,hospital_fresh_short_F,train,18
physeval_collision_control_20260708_173041,hospital_fresh_short_F,train,35
physeval_ema_A_20260708_172649,hospital_goal_A,train,36
physeval_ema_D_20260708_172739,hospital_holdout_short_D,test,36
physeval_ema_F_20260708_172828,hospital_fresh_short_F,train,36
