episode_id,goal_id,route_id,collector_policy,return_code,recording_integrity,failure_stage,runtime_degradation_event,rerecorded_from,timeout_flag,partial_recording_flag,split,expected_difficulty,n_frames,path_length_m,final_d2g_m,min_d2g_m,contacts,stop_reason,estop,trajectory_quality,training_eligible,imitation_eligible,evaluation_eligible,domain_shift_evidence,checkpoint,telemetry_note
h2_ft_H_a,h2_long_turn_H,long_multi_turn,hospital_front_rgb_finetune,0,clean,spawn_defect,route_design_defect_hand_placed_spawn,,False,False,train,long_multi_turn,80,2.0958,7.4771,,3610,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h2_ft_I_a,h2_corridor_I,occluded_corridor,hospital_front_rgb_finetune,0,clean,spawn_defect,route_design_defect_hand_placed_spawn,,False,False,train,occluded_corridor,62,0.0567,6.2292,,3598,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h2_ft_J_a,h2_weave_J,weave_near_obstacle,hospital_front_rgb_finetune,0,clean,,,,False,False,train,weave_near_obstacle,71,6.9632,1.2775,,0,step_budget_complete,False,imperfect,True,True,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,latency/camera-age: not logged per-step in this collection - explicitly unavailable
h2_ft_K_a,h2_near_desk_K,near_desk_turn,hospital_front_rgb_finetune,0,clean,route_design_defect,route_design_defect_hand_placed_spawn,,False,False,train,near_desk_turn,63,2.1725,4.1592,,2294,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h2_ft_H_b,h2_long_turn_H,long_multi_turn,hospital_front_rgb_finetune,0,clean,spawn_defect,route_design_defect_hand_placed_spawn,,False,False,train,long_multi_turn,79,1.6862,7.4637,,3860,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h2_ft_I_b,h2_corridor_I,occluded_corridor,hospital_front_rgb_finetune,0,clean,spawn_defect,route_design_defect_hand_placed_spawn,,False,False,train,occluded_corridor,63,0.0991,6.2979,,3598,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h2_ft_J_b,h2_weave_J,weave_near_obstacle,hospital_front_rgb_finetune,0,clean,,,,False,False,train,weave_near_obstacle,71,6.9635,0.9981,,0,step_budget_complete,False,success,True,True,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,latency/camera-age: not logged per-step in this collection - explicitly unavailable
h2_ft_K_b,h2_near_desk_K,near_desk_turn,hospital_front_rgb_finetune,0,clean,route_design_defect,route_design_defect_hand_placed_spawn,,False,False,train,near_desk_turn,63,1.8619,4.0593,,2547,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h2_td_H,h2_long_turn_H,long_multi_turn,topdown_incumbent_diagnostic,137,excluded_partial_recording,control_loop_start_wedge,recording_stall_after_suspend_resume,,False,True,train,long_multi_turn,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_H_r,h2_long_turn_H,long_multi_turn,topdown_incumbent_diagnostic,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,train,long_multi_turn,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
