episode_id,route_family,split,collector_type,demonstration_source,base_mode,return_code,route_completed,path_length_m,final_wp_index,total_contacts,max_contact_streak,artifact_integrity,front_rgb_verified,front_rgb_dim,trajectory_quality,imitation_eligible,evaluation_eligible,decider_verdict,disk_guard_status,free_space_before_gb,free_space_after_gb,bag_size_gb,recording_integrity,process_control_method,kill_method_if_any,runtime_degradation_event,re_recorded_from
h4rec_h4_navgen_31_000_a_20260711_062032,h4_navgen_31_000,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,5.784,20,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_000_b_20260711_063635,h4_navgen_31_000,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,5.941,20,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_001_a_20260711_065059,h4_navgen_31_001,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,3.953,11,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_001_b_20260711_072642,h4_navgen_31_001,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,3.72,11,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_002_a_20260711_074612,h4_navgen_31_002,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,6.916,24,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.7,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_002_b_20260711_080010,h4_navgen_31_002,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,7.163,24,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_005_a_20260711_081529,h4_navgen_31_005,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,5.416,19,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_005_b_20260711_083211,h4_navgen_31_005,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,5.462,19,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_007_a_20260711_084715,h4_navgen_31_007,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,3.008,10,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,superseded_paused_or_exhausted_attempt
h4rec_h4_navgen_31_007_b_20260711_090144,h4_navgen_31_007,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,3.083,10,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_008_a_20260711_113523,h4_navgen_31_008,held_out_test,scripted_reference_path,expert_scripted_executor,holonomic,0,True,2.65,9,0,0,complete,True,640x480,expert_demo_clean,False,True,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_008_b_20260711_115029,h4_navgen_31_008,held_out_test,scripted_reference_path,expert_scripted_executor,holonomic,0,True,2.724,9,0,0,complete,True,640x480,expert_demo_clean,False,True,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_009_a_20260711_091557,h4_navgen_31_009,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,3.661,13,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_009_b_20260711_093348,h4_navgen_31_009,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,3.593,13,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_011_a_20260711_095129,h4_navgen_31_011,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,2.641,9,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.7,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_011_b_20260711_100853,h4_navgen_31_011,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,2.723,9,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_012_a_20260711_120600,h4_navgen_31_012,held_out_test,scripted_reference_path,expert_scripted_executor,holonomic,0,True,1.913,8,0,0,complete,True,640x480,expert_demo_clean,False,True,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_012_b_20260711_122325,h4_navgen_31_012,held_out_test,scripted_reference_path,expert_scripted_executor,holonomic,0,True,2.183,8,0,0,complete,True,640x480,expert_demo_clean,False,True,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_013_a_20260711_102623,h4_navgen_31_013,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,5.205,18,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_013_b_20260711_104420,h4_navgen_31_013,train,scripted_reference_path,expert_scripted_executor,holonomic,0,True,4.952,18,0,0,complete,True,640x480,expert_demo_clean,True,False,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_015_a_20260711_110153,h4_navgen_31_015,validation,scripted_reference_path,expert_scripted_executor,holonomic,0,True,5.163,17,0,0,complete,True,640x480,expert_demo_clean,False,True,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_016_a_20260711_123934,h4_navgen_31_016,held_out_test,scripted_reference_path,expert_scripted_executor,holonomic,0,True,5.955,21,0,0,complete,True,640x480,expert_demo_clean,False,True,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.8,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
h4rec_h4_navgen_31_016_b_20260711_125743,h4_navgen_31_016,held_out_test,scripted_reference_path,expert_scripted_executor,holonomic,0,True,5.7,21,0,0,complete,True,640x480,expert_demo_clean,False,True,PASS_DEMONSTRATION,floor_active_never_fired,not_logged_per_episode,not_logged_per_episode,1.7,ok,timeout_wrapper_per_episode_rc_capture,none,none,first_clean_record
