split,source,episode
train,H2.4,h24_90turn_a_20260710_194950
train,H2.4,h24_90turn_b_20260710_200643
train,H2.4,h24_I_a_20260710_212851
train,H2.4,h24_J_a_20260710_205331
train,H2.4,h24_J_b_20260710_211036
train,H2.4,h24_scurve_a_20260710_202257
train,H2.4,h24_straight_a_20260710_192309
train,H2.4,h24_straight_b_20260710_193626
train,H4,h4rec_h4_navgen_31_000_a_20260711_062032
train,H4,h4rec_h4_navgen_31_000_b_20260711_063635
train,H4,h4rec_h4_navgen_31_001_a_20260711_065059
train,H4,h4rec_h4_navgen_31_001_b_20260711_072642
train,H4,h4rec_h4_navgen_31_002_a_20260711_074612
train,H4,h4rec_h4_navgen_31_002_b_20260711_080010
train,H4,h4rec_h4_navgen_31_005_a_20260711_081529
train,H4,h4rec_h4_navgen_31_005_b_20260711_083211
train,H4,h4rec_h4_navgen_31_007_a_20260711_084715
train,H4,h4rec_h4_navgen_31_007_b_20260711_090144
train,H4,h4rec_h4_navgen_31_009_a_20260711_091557
train,H4,h4rec_h4_navgen_31_009_b_20260711_093348
train,H4,h4rec_h4_navgen_31_011_a_20260711_095129
train,H4,h4rec_h4_navgen_31_011_b_20260711_100853
train,H4,h4rec_h4_navgen_31_013_a_20260711_102623
train,H4,h4rec_h4_navgen_31_013_b_20260711_104420
val,H2.4,h24_I_b_20260710_214602
val,H2.4,h24_scurve_b_20260710_203800
val,H4,h4rec_h4_navgen_31_015_a_20260711_110153
val,H4,h4rec_h4_navgen_31_017_a_20260711_111916
test_h4_heldout,H4,h4rec_h4_navgen_31_008_a_20260711_113523
test_h4_heldout,H4,h4rec_h4_navgen_31_008_b_20260711_115029
test_h4_heldout,H4,h4rec_h4_navgen_31_012_a_20260711_120600
test_h4_heldout,H4,h4rec_h4_navgen_31_012_b_20260711_122325
test_h4_heldout,H4,h4rec_h4_navgen_31_016_a_20260711_123934
test_h4_heldout,H4,h4rec_h4_navgen_31_016_b_20260711_125743
test_prior_heldout,H2/H1-era,h24_test_chain_a_20260710_223718
test_prior_heldout,H2/H1-era,h24_test_chain_b_20260710_225447
test_prior_heldout,H2/H1-era,h24_test_uturn_a_20260710_220326
test_prior_heldout,H2/H1-era,h24_test_uturn_b_20260710_222002
test_prior_heldout,H2/H1-era,h2_ft_L_solo2_20260710_011212
test_prior_heldout,H2/H1-era,h2_td_L_20260709_213517
