split,family,model,n,successes,SR,mean_NE_m
test_h4,navgen_31_008,h1,2,0,0.0,16.8
test_h4,navgen_31_008,h5,2,0,0.0,7.231
test_h4,navgen_31_008,h6,2,0,0.0,8.818
test_h4,navgen_31_012,h1,2,0,0.0,16.547
test_h4,navgen_31_012,h5,2,0,0.0,6.234
test_h4,navgen_31_012,h6,2,0,0.0,8.634
test_h4,navgen_31_016,h1,2,0,0.0,8.761
test_h4,navgen_31_016,h5,2,2,1.0,1.603
test_h4,navgen_31_016,h6,2,2,1.0,0.989
test_h6hard,chain_02,h1,2,0,0.0,16.433
test_h6hard,chain_02,h5,2,0,0.0,5.154
test_h6hard,chain_02,h6,2,0,0.0,7.421
test_h6hard,uturn_02,h1,2,0,0.0,26.29
test_h6hard,uturn_02,h5,2,0,0.0,11.346
test_h6hard,uturn_02,h6,2,0,0.0,13.729
test_prior,chain,h1,2,0,0.0,19.578
test_prior,chain,h5,2,0,0.0,11.1
test_prior,chain,h6,2,0,0.0,12.64
test_prior,ftL,h1,2,1,0.5,3.071
test_prior,ftL,h5,2,0,0.0,5.585
test_prior,ftL,h6,2,1,0.5,3.59
test_prior,uturn,h1,2,0,0.0,15.635
test_prior,uturn,h5,2,0,0.0,4.874
test_prior,uturn,h6,2,0,0.0,6.968
