episode_label,route_id,route_type,split_target,variant,return_code,timeout,route_completed,cl_stop_reason,total_collision_count,max_contact_streak,first_collision_step,steps,distance_m,rosbag_path,rosbag_db3_bytes,artifact_complete,episode_dir,log_path,disk_before_gb,disk_after_gb,cleanup_status,status
h6rec_h6_uturn_01_a,h6_uturn_01,uturn,train,a,0,False,True,,0,0,,6120,8.252,assets/experiments/rosbags/h6rec_h6_uturn_01_a_20260712_195504,1964363776,True,assets/experiments/trajectories/h6rec_h6_uturn_01_a_20260712_195504,logs/h6rec_h6_uturn_01_a_20260712_195121.log,385.6,383.7,clean,RECORDED_OK
h6rec_h6_uturn_01_b,h6_uturn_01,uturn,train,b,0,False,True,,0,0,,6120,8.252,assets/experiments/rosbags/h6rec_h6_uturn_01_b_20260712_200832,1964339200,True,assets/experiments/trajectories/h6rec_h6_uturn_01_b_20260712_200832,logs/h6rec_h6_uturn_01_b_20260712_200450.log,383.7,381.7,clean,RECORDED_OK
h6rec_h6_chain_01_a,h6_chain_01,chain,train,a,0,False,True,,0,0,,6120,7.7401,assets/experiments/rosbags/h6rec_h6_chain_01_a_20260712_202208,1964318720,True,assets/experiments/trajectories/h6rec_h6_chain_01_a_20260712_202208,logs/h6rec_h6_chain_01_a_20260712_201826.log,381.7,379.7,clean,RECORDED_OK
h6rec_h6_chain_01_b,h6_chain_01,chain,train,b,0,False,True,,0,0,,6120,7.7401,assets/experiments/rosbags/h6rec_h6_chain_01_b_20260712_203554,1966211072,True,assets/experiments/trajectories/h6rec_h6_chain_01_b_20260712_203554,logs/h6rec_h6_chain_01_b_20260712_203211.log,379.7,377.7,clean,RECORDED_OK
h6rec_h6_ftL_01_a,h6_ftL_01,ftL_sharp,train,a,0,False,True,,0,0,,6120,6.6071,assets/experiments/rosbags/h6rec_h6_ftL_01_a_20260712_205017,1965260800,True,assets/experiments/trajectories/h6rec_h6_ftL_01_a_20260712_205017,logs/h6rec_h6_ftL_01_a_20260712_204634.log,377.7,375.8,clean,RECORDED_OK
h6rec_h6_ftL_01_b,h6_ftL_01,ftL_sharp,train,b,0,False,True,,0,0,,6120,6.6071,assets/experiments/rosbags/h6rec_h6_ftL_01_b_20260712_210254,1966157824,True,assets/experiments/trajectories/h6rec_h6_ftL_01_b_20260712_210254,logs/h6rec_h6_ftL_01_b_20260712_205913.log,375.8,373.8,clean,RECORDED_OK
h6rec_h6_sharpmulti_01_a,h6_sharpmulti_01,sharp_multi_turn,train,a,0,False,True,,0,0,,6120,7.3895,assets/experiments/rosbags/h6rec_h6_sharpmulti_01_a_20260712_211543,1921835008,True,assets/experiments/trajectories/h6rec_h6_sharpmulti_01_a_20260712_211543,logs/h6rec_h6_sharpmulti_01_a_20260712_211200.log,373.8,371.8,clean,RECORDED_OK
h6rec_h6_sharpmulti_01_b,h6_sharpmulti_01,sharp_multi_turn,train,b,0,False,True,,0,0,,6120,7.3895,assets/experiments/rosbags/h6rec_h6_sharpmulti_01_b_20260712_212824,1958785024,True,assets/experiments/trajectories/h6rec_h6_sharpmulti_01_b_20260712_212824,logs/h6rec_h6_sharpmulti_01_b_20260712_212441.log,371.8,369.9,clean,RECORDED_OK
h6rec_h6_tightcorr_01_a,h6_tightcorr_01,tight_corridor_turn,train,a,0,False,True,,0,0,,6120,6.7485,assets/experiments/rosbags/h6rec_h6_tightcorr_01_a_20260712_214230,1965289472,True,assets/experiments/trajectories/h6rec_h6_tightcorr_01_a_20260712_214230,logs/h6rec_h6_tightcorr_01_a_20260712_213848.log,369.9,367.9,clean,RECORDED_OK
h6rec_h6_tightcorr_01_b,h6_tightcorr_01,tight_corridor_turn,train,b,0,False,True,,0,0,,6120,6.7485,assets/experiments/rosbags/h6rec_h6_tightcorr_01_b_20260712_215508,1956032512,True,assets/experiments/trajectories/h6rec_h6_tightcorr_01_b_20260712_215508,logs/h6rec_h6_tightcorr_01_b_20260712_215126.log,367.9,365.9,clean,RECORDED_OK
h6rec_h6_compound_01_a,h6_compound_01,compound_turn,validation,a,0,False,True,,0,0,,6120,7.1144,assets/experiments/rosbags/h6rec_h6_compound_01_a_20260712_220936,1953243136,True,assets/experiments/trajectories/h6rec_h6_compound_01_a_20260712_220936,logs/h6rec_h6_compound_01_a_20260712_220554.log,365.9,363.9,clean,RECORDED_OK
h6rec_h6_compound_01_b,h6_compound_01,compound_turn,validation,b,0,False,True,,0,0,,6120,7.1144,assets/experiments/rosbags/h6rec_h6_compound_01_b_20260712_222300,1966161920,True,assets/experiments/trajectories/h6rec_h6_compound_01_b_20260712_222300,logs/h6rec_h6_compound_01_b_20260712_221918.log,363.9,362.0,clean,RECORDED_OK
h6rec_h6_uturn_02_a,h6_uturn_02,uturn,fresh_heldout,a,0,False,True,,0,0,,6120,8.4585,assets/experiments/rosbags/h6rec_h6_uturn_02_a_20260712_223754,1968984064,True,assets/experiments/trajectories/h6rec_h6_uturn_02_a_20260712_223754,logs/h6rec_h6_uturn_02_a_20260712_223411.log,362.0,360.0,clean,RECORDED_OK
h6rec_h6_uturn_02_b,h6_uturn_02,uturn,fresh_heldout,b,0,False,True,,0,0,,6120,8.4585,assets/experiments/rosbags/h6rec_h6_uturn_02_b_20260712_225103,1965305856,True,assets/experiments/trajectories/h6rec_h6_uturn_02_b_20260712_225103,logs/h6rec_h6_uturn_02_b_20260712_224721.log,360.0,358.0,clean,RECORDED_OK
h6rec_h6_chain_02_a,h6_chain_02,chain,fresh_heldout,a,0,False,True,,0,0,,6120,9.0593,assets/experiments/rosbags/h6rec_h6_chain_02_a_20260712_230437,1964384256,True,assets/experiments/trajectories/h6rec_h6_chain_02_a_20260712_230437,logs/h6rec_h6_chain_02_a_20260712_230054.log,358.0,356.0,clean,RECORDED_OK
h6rec_h6_chain_02_b,h6_chain_02,chain,fresh_heldout,b,0,False,True,,0,0,,6120,9.0593,assets/experiments/rosbags/h6rec_h6_chain_02_b_20260712_231754,1964322816,True,assets/experiments/trajectories/h6rec_h6_chain_02_b_20260712_231754,logs/h6rec_h6_chain_02_b_20260712_231411.log,356.0,354.0,clean,RECORDED_OK
