metric,view_i,split_i,view_j,split_j,pair_class,similarity
dino_cosine,h8m_recep_junction__goalA,test,h8m_recep_junction__goalB,test,within_zone,0.2834
ahash,h8m_recep_junction__goalA,test,h8m_recep_junction__goalB,test,within_zone,0.7305
ssim,h8m_recep_junction__goalA,test,h8m_recep_junction__goalB,test,within_zone,0.1054
dino_cosine,h8m_recep_junction__goalA,test,h8m_recep_fork__goalA,test,within_split,0.3229
ahash,h8m_recep_junction__goalA,test,h8m_recep_fork__goalA,test,within_split,0.8242
ssim,h8m_recep_junction__goalA,test,h8m_recep_fork__goalA,test,within_split,0.0497
dino_cosine,h8m_recep_junction__goalA,test,h8m_recep_fork__goalB,test,within_split,0.3307
ahash,h8m_recep_junction__goalA,test,h8m_recep_fork__goalB,test,within_split,0.5117
ssim,h8m_recep_junction__goalA,test,h8m_recep_fork__goalB,test,within_split,0.0264
dino_cosine,h8m_recep_junction__goalA,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.4883
ahash,h8m_recep_junction__goalA,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.4414
ssim,h8m_recep_junction__goalA,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.0003
dino_cosine,h8m_recep_junction__goalA,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.1877
ahash,h8m_recep_junction__goalA,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.4609
ssim,h8m_recep_junction__goalA,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.0371
dino_cosine,h8m_recep_junction__goalA,test,h8m_side_corridor__goalA,val,cross_split,0.3269
ahash,h8m_recep_junction__goalA,test,h8m_side_corridor__goalA,val,cross_split,0.6211
ssim,h8m_recep_junction__goalA,test,h8m_side_corridor__goalA,val,cross_split,0.0354
dino_cosine,h8m_recep_junction__goalA,test,h8m_side_corridor__goalB,val,cross_split,0.2862
ahash,h8m_recep_junction__goalA,test,h8m_side_corridor__goalB,val,cross_split,0.5508
ssim,h8m_recep_junction__goalA,test,h8m_side_corridor__goalB,val,cross_split,0.0406
dino_cosine,h8m_recep_junction__goalA,test,h8m_waiting_seating__goalA,train,cross_split,0.2177
ahash,h8m_recep_junction__goalA,test,h8m_waiting_seating__goalA,train,cross_split,0.543
ssim,h8m_recep_junction__goalA,test,h8m_waiting_seating__goalA,train,cross_split,0.0594
dino_cosine,h8m_recep_junction__goalA,test,h8m_waiting_seating__goalB,train,cross_split,0.1574
ahash,h8m_recep_junction__goalA,test,h8m_waiting_seating__goalB,train,cross_split,0.4688
ssim,h8m_recep_junction__goalA,test,h8m_waiting_seating__goalB,train,cross_split,0.0616
dino_cosine,h8m_recep_junction__goalA,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.2228
ahash,h8m_recep_junction__goalA,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.5117
ssim,h8m_recep_junction__goalA,test,h8m_lobby_vending_nearfar__goalA,train,cross_split,0.0124
dino_cosine,h8m_recep_junction__goalA,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.1938
ahash,h8m_recep_junction__goalA,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.4922
ssim,h8m_recep_junction__goalA,test,h8m_lobby_vending_nearfar__goalB,train,cross_split,0.0152
dino_cosine,h8m_recep_junction__goalA,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.2334
ahash,h8m_recep_junction__goalA,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.5117
ssim,h8m_recep_junction__goalA,test,h8m_east_vending_nearfar__goalA,val,cross_split,0.0179
dino_cosine,h8m_recep_junction__goalA,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.2239
ahash,h8m_recep_junction__goalA,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.4805
ssim,h8m_recep_junction__goalA,test,h8m_east_vending_nearfar__goalB,val,cross_split,0.0182
dino_cosine,h8m_recep_junction__goalA,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.168
ahash,h8m_recep_junction__goalA,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.5547
ssim,h8m_recep_junction__goalA,test,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.0629
dino_cosine,h8m_recep_junction__goalA,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.2408
ahash,h8m_recep_junction__goalA,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5547
ssim,h8m_recep_junction__goalA,test,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.0161
dino_cosine,h8m_recep_junction__goalA,test,placeholder_h2_weave_J,hard_negative,cross_split,0.3467
ahash,h8m_recep_junction__goalA,test,placeholder_h2_weave_J,hard_negative,cross_split,0.5078
ssim,h8m_recep_junction__goalA,test,placeholder_h2_weave_J,hard_negative,cross_split,0.3893
dino_cosine,h8m_recep_junction__goalB,test,h8m_recep_fork__goalA,test,within_split,0.4467
ahash,h8m_recep_junction__goalB,test,h8m_recep_fork__goalA,test,within_split,0.6484
ssim,h8m_recep_junction__goalB,test,h8m_recep_fork__goalA,test,within_split,0.593
dino_cosine,h8m_recep_junction__goalB,test,h8m_recep_fork__goalB,test,within_split,0.5451
ahash,h8m_recep_junction__goalB,test,h8m_recep_fork__goalB,test,within_split,0.6016
ssim,h8m_recep_junction__goalB,test,h8m_recep_fork__goalB,test,within_split,0.4173
dino_cosine,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.3842
ahash,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.1719
ssim,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalA,train,cross_split,0.2841
dino_cosine,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.3804
ahash,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.3477
ssim,h8m_recep_junction__goalB,test,h8m_recep_desk_multiobj__goalB,train,cross_split,0.3242
dino_cosine,h8m_recep_junction__goalB,test,h8m_side_corridor__goalA,val,cross_split,0.4043
ahash,h8m_recep_junction__goalB,test,h8m_side_corridor__goalA,val,cross_split,0.6484
