view/view,lobby,midwest_A,midwest_B,east_A,east_B,lookalike_test,west_C,val_A,searchW1,searchW2
lobby,1.0,0.809,0.641,0.863,0.832,0.789,0.559,0.578,0.812,0.777
midwest_A,0.809,1.0,0.762,0.766,0.742,0.723,0.617,0.684,0.746,0.703
midwest_B,0.641,0.762,1.0,0.566,0.543,0.531,0.746,0.852,0.586,0.551
east_A,0.863,0.766,0.566,1.0,0.93,0.887,0.562,0.535,0.738,0.727
east_B,0.832,0.742,0.543,0.93,1.0,0.957,0.547,0.52,0.723,0.727
lookalike_test,0.789,0.723,0.531,0.887,0.957,1.0,0.527,0.508,0.703,0.707
west_C,0.559,0.617,0.746,0.562,0.547,0.527,1.0,0.73,0.473,0.523
val_A,0.578,0.684,0.852,0.535,0.52,0.508,0.73,1.0,0.57,0.488
searchW1,0.812,0.746,0.586,0.738,0.723,0.703,0.473,0.57,1.0,0.77
searchW2,0.777,0.703,0.551,0.727,0.727,0.707,0.523,0.488,0.77,1.0
