scene_id,probe_id,classification,reason,n_open,open_dirs,decision_dir,goalA_dir,goalB_dir,branch_sep_deg,goalA_depth_m,goalB_depth_m,branch_dino_cosine,eye_x,eye_y,depth_E,depth_N,depth_W,depth_S
office_isaac,p00,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-14.851,3.03,7.194,2.835,,3.094
office_isaac,p10,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-10.584,3.03,3.006,8.472,4.316,14.929
office_isaac,p20,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-6.318,3.03,4.043,1.134,1.226,5.22
office_isaac,p30,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-2.051,3.03,,0.103,5.012,0.747
office_isaac,p01,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-14.851,13.23,0.751,7.079,2.049,7.13
office_isaac,p11,WALL_ONLY,"L-corner (2 perpendicular open, single forced turn)",2,E|N,,,,,,,,-10.584,13.23,5.683,4.871,3.516,1.502
office_isaac,p21,WALL_ONLY,"L-corner (2 perpendicular open, single forced turn)",2,N|W,,,,,,,,-6.318,13.23,1.417,4.87,7.782,1.302
office_isaac,p31,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-2.051,13.23,0.951,9.938,2.85,9.328
office_isaac,p02,WALL_ONLY,"boxed/dead-end (1 open, walls <3.0m)",1,N,,,,,,,,-14.851,23.43,0.271,15.201,1.67,7.079
office_isaac,p12,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-10.584,23.43,1.815,0.47,0.539,0.476
office_isaac,p22,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-6.318,23.43,1.218,0.652,2.064,4.751
office_isaac,p32,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-2.051,23.43,0.951,0.174,,0.174
office_isaac,p03,RENDER_VALID_BUT_VISUALLY_WEAK,branches not distinct (DINO 0.674),3,N|W|S,W,N,S,180.0,13.967,9.13,0.674,-14.851,33.63,3.874,13.967,8.149,9.13
office_isaac,p13,WALL_ONLY,"boxed/dead-end (1 open, walls <3.0m)",1,W,,,,,,,,-10.584,33.63,4.43,0.37,12.416,5.576
office_isaac,p23,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-6.318,33.63,1.218,0.254,4.343,6.08
