scene_id,probe_id,classification,reason,n_open,open_dirs,decision_dir,goalA_dir,goalB_dir,branch_sep_deg,goalA_depth_m,goalB_depth_m,branch_dino_cosine,eye_x,eye_y,depth_E,depth_N,depth_W,depth_S
warehouse_full,p00,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,N,E,S,90.0,23.923,20.293,0.871,-18.663,-3.107,23.923,12.341,7.667,20.293
warehouse_full,p10,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,N,S,E,90.0,20.293,19.976,0.805,-14.545,-3.107,19.976,15.923,11.785,20.293
warehouse_full,p20,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,E,S,W,90.0,20.293,15.875,0.812,-10.426,-3.107,15.857,13.534,15.875,20.293
warehouse_full,p30,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,N,S,W,90.0,20.293,19.994,0.803,-6.307,-3.107,11.767,12.148,19.994,20.293
warehouse_full,p40,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,N,W,S,90.0,23.941,20.293,0.854,-2.189,-3.107,7.649,12.465,23.941,20.293
warehouse_full,p01,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,N,S,E,90.0,25.227,23.923,0.762,-18.663,1.827,23.923,9.875,7.667,25.227
warehouse_full,p11,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,W,S,E,90.0,25.227,19.805,0.78,-14.545,1.827,19.805,9.393,11.765,25.227
warehouse_full,p21,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,E,S,W,90.0,25.227,15.875,0.735,-10.426,1.827,15.857,7.95,15.875,25.227
warehouse_full,p31,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,E,S,W,90.0,25.227,19.823,0.805,-6.307,1.827,11.767,7.213,19.823,25.227
warehouse_full,p41,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,N,S,W,90.0,25.227,23.941,0.803,-2.189,1.827,7.649,7.95,23.941,25.227
warehouse_full,p02,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,N,S,E,90.0,30.162,13.578,0.679,-18.663,6.762,13.578,10.351,7.667,30.162
warehouse_full,p12,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,W,S,E,90.0,30.162,14.2,0.625,-14.545,6.762,14.2,6.38,11.785,30.162
warehouse_full,p22,RENDER_VALID_BUT_VISUALLY_WEAK,branches not distinct (DINO 0.612),3,E|W|S,E,S,W,90.0,30.162,15.048,0.612,-10.426,6.762,14.7,2.488,15.048,30.162
warehouse_full,p32,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,E,S,W,90.0,30.162,14.339,0.6,-6.307,6.762,11.767,4.656,14.339,30.162
warehouse_full,p42,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall, not a branch-choice junction",4,E|N|W|S,E,S,W,90.0,30.162,17.677,0.698,-2.189,6.762,7.649,5.456,17.677,30.162
warehouse_full,p03,RENDER_VALID_BUT_VISUALLY_WEAK,branches not distinct (DINO 0.648),3,E|N|S,E,S,N,180.0,35.068,9.875,0.648,-18.663,11.697,3.413,9.875,1.245,35.068
warehouse_full,p13,RENDER_VALID_BUT_VISUALLY_WEAK,"VISUAL VERIFICATION (gate 13): the contact sheet shows a STRAIGHT AISLE — goalA(S) and goalB(N) are opposite ends of the SAME aisle (collinear, sep 180 deg), distinguishable only by a pallet/obstacle at one end; the decision(E) view is a rack face of boxes, not a navigable cross-aisle. Not a genuine angular fork; DINO 0.584 is a marginal artifact. Downgraded from RENDER_VALID_JUNCTION.",3,E|N|S,E,S,N,180.0,30.398,6.337,0.584,-14.545,11.697,3.875,6.337,0.554,30.398
warehouse_full,p23,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-10.426,11.697,0.12,0.472,0.166,0.055
warehouse_full,p33,RENDER_VALID_BUT_VISUALLY_WEAK,branches not distinct (DINO 0.779),3,N|W|S,W,S,N,180.0,6.226,4.201,0.779,-6.307,11.697,0.306,4.201,3.944,6.226
warehouse_full,p43,WALL_ONLY,"boxed/dead-end (1 open, walls <3.0m)",1,S,,,,,,,,-2.189,11.697,0.121,0.097,0.516,34.327
warehouse_full,p04,RENDER_VALID_BUT_VISUALLY_WEAK,branches not distinct (DINO 0.875),3,E|N|S,E,S,N,180.0,14.765,13.94,0.875,-18.663,16.631,3.705,13.94,1.209,14.765
