view,warehouse_full:p00:goalA:E,warehouse_full:p00:goalB:S,warehouse_full:p10:goalA:S,warehouse_full:p10:goalB:E,warehouse_full:p20:goalA:S,warehouse_full:p20:goalB:W,warehouse_full:p30:goalA:S,warehouse_full:p30:goalB:W,warehouse_full:p40:goalA:W,warehouse_full:p40:goalB:S,warehouse_full:p01:goalA:S,warehouse_full:p01:goalB:E,warehouse_full:p11:goalA:S,warehouse_full:p11:goalB:E,warehouse_full:p21:goalA:S,warehouse_full:p21:goalB:W
warehouse_full:p00:goalA:E,1.0,0.871,0.783,0.921,0.795,0.876,0.789,0.918,0.963,0.852,0.89,0.896,0.859,0.924,0.805,0.893
warehouse_full:p00:goalB:S,0.871,1.0,0.909,0.874,0.921,0.868,0.91,0.868,0.874,0.961,0.956,0.754,0.927,0.788,0.868,0.835
warehouse_full:p10:goalA:S,0.783,0.909,1.0,0.805,0.978,0.796,0.978,0.795,0.779,0.95,0.876,0.661,0.926,0.713,0.939,0.742
warehouse_full:p10:goalB:E,0.921,0.874,0.805,1.0,0.807,0.916,0.808,0.974,0.928,0.868,0.877,0.788,0.855,0.875,0.813,0.861
warehouse_full:p20:goalA:S,0.795,0.921,0.978,0.807,1.0,0.812,0.981,0.804,0.795,0.943,0.882,0.674,0.911,0.713,0.931,0.758
warehouse_full:p20:goalB:W,0.876,0.868,0.796,0.916,0.812,1.0,0.815,0.951,0.923,0.862,0.853,0.777,0.839,0.839,0.787,0.922
warehouse_full:p30:goalA:S,0.789,0.91,0.978,0.808,0.981,0.815,1.0,0.803,0.794,0.95,0.874,0.678,0.914,0.723,0.937,0.761
warehouse_full:p30:goalB:W,0.918,0.868,0.795,0.974,0.804,0.951,0.803,1.0,0.955,0.865,0.871,0.791,0.854,0.87,0.801,0.899
warehouse_full:p40:goalA:W,0.963,0.874,0.779,0.928,0.795,0.923,0.794,0.955,1.0,0.854,0.887,0.846,0.864,0.9,0.806,0.929
warehouse_full:p40:goalB:S,0.852,0.961,0.95,0.868,0.943,0.862,0.95,0.865,0.854,1.0,0.948,0.744,0.957,0.789,0.921,0.821
warehouse_full:p01:goalA:S,0.89,0.956,0.876,0.877,0.882,0.853,0.874,0.871,0.887,0.948,1.0,0.762,0.954,0.802,0.896,0.834
warehouse_full:p01:goalB:E,0.896,0.754,0.661,0.788,0.674,0.777,0.678,0.791,0.846,0.744,0.762,1.0,0.737,0.943,0.676,0.853
warehouse_full:p11:goalA:S,0.859,0.927,0.926,0.855,0.911,0.839,0.914,0.854,0.864,0.957,0.954,0.737,1.0,0.78,0.954,0.81
warehouse_full:p11:goalB:E,0.924,0.788,0.713,0.875,0.713,0.839,0.723,0.87,0.9,0.789,0.802,0.943,0.78,1.0,0.728,0.908
warehouse_full:p21:goalA:S,0.805,0.868,0.939,0.813,0.931,0.787,0.937,0.801,0.806,0.921,0.896,0.676,0.954,0.728,1.0,0.735
warehouse_full:p21:goalB:W,0.893,0.835,0.742,0.861,0.758,0.922,0.761,0.899,0.929,0.821,0.834,0.853,0.81,0.908,0.735,1.0
