episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h21probe_I_s_20260710_015203,0,7.716667,1783644729.064289,3.000413,-0.0,-0.0,-3.141585,0.2,-0.2569,-0.000199,6.4e-05,camera_link,7.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.42,0.3489,-0.2569,0.0872,-0.0056,0.4165,,,gnm_closed_loop,0.2,-0.2569,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0,True,0.3489,-0.2569,0.2,-0.2569,True,armed,False,
h21probe_I_s_20260710_015203,1,7.733334,1783644729.067846,2.998993,0.0,0.0,-3.141589,0.2,-0.2569,-0.000199,6.4e-05,camera_link,7.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.42,0.3489,-0.2569,0.0872,-0.0056,0.4165,,,gnm_closed_loop,0.2,-0.2569,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0,True,0.3489,-0.2569,0.2,-0.2569,True,armed,False,
h21probe_I_s_20260710_015203,2,7.75,1783644729.071134,2.996381,0.0,-0.0,3.141583,0.2,-0.2569,-0.000199,6.4e-05,camera_link,7.75,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.42,0.3489,-0.2569,0.0872,-0.0056,0.4165,,,gnm_closed_loop,0.2,-0.2569,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0,True,0.3489,-0.2569,0.2,-0.2569,True,armed,False,
h21probe_I_s_20260710_015203,3,7.766667,1783644729.085533,2.993223,0.0,-0.0,3.141562,0.2,-0.2534,0.196263,0.012782,camera_link,7.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.4,0.3499,-0.2534,0.0875,-0.0055,0.4137,,,gnm_closed_loop,0.2,-0.2534,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0,True,0.3499,-0.2534,0.2,-0.2534,True,armed,False,
h21probe_I_s_20260710_015203,4,7.783334,1783644729.088147,2.989926,0.0,-0.0,3.141542,0.2,-0.2534,0.196263,0.012782,camera_link,7.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.4,0.3499,-0.2534,0.0875,-0.0055,0.4137,,,gnm_closed_loop,0.2,-0.2534,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0001,True,0.3499,-0.2534,0.2,-0.2534,True,armed,False,
h21probe_I_s_20260710_015203,5,7.8,1783644729.090036,2.98661,-0.0,-1e-06,3.141524,0.2,-0.2534,0.196263,0.012782,camera_link,7.8,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.4,0.3499,-0.2534,0.0875,-0.0055,0.4137,,,gnm_closed_loop,0.2,-0.2534,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0001,True,0.3499,-0.2534,0.2,-0.2534,True,armed,False,
h21probe_I_s_20260710_015203,6,7.816667,1783644729.107087,2.983291,-0.0,-1e-06,3.141504,0.2,-0.2424,0.199321,0.011716,camera_link,7.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.69,0.3536,-0.2424,0.0884,-0.0054,0.4104,,,gnm_closed_loop,0.2,-0.2424,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0001,True,0.3536,-0.2424,0.2,-0.2424,True,armed,False,
h21probe_I_s_20260710_015203,7,7.833334,1783644729.109406,2.979972,-0.0,-0.0,3.141488,0.2,-0.2424,0.199321,0.011716,camera_link,7.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.69,0.3536,-0.2424,0.0884,-0.0054,0.4104,,,gnm_closed_loop,0.2,-0.2424,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0002,True,0.3536,-0.2424,0.2,-0.2424,True,armed,False,
h21probe_I_s_20260710_015203,8,7.85,1783644729.111317,2.976651,-0.0,-0.0,3.141472,0.2,-0.2424,0.199321,0.011716,camera_link,7.85,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.69,0.3536,-0.2424,0.0884,-0.0054,0.4104,,,gnm_closed_loop,0.2,-0.2424,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0003,True,0.3536,-0.2424,0.2,-0.2424,True,armed,False,
h21probe_I_s_20260710_015203,9,7.866667,1783644729.126185,2.973328,-0.0,-0.0,3.141455,0.2,-0.285,0.199653,0.011529,camera_link,7.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.58,0.337,-0.285,0.0843,-0.006,0.4027,,,gnm_closed_loop,0.2,-0.285,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.0004,True,0.337,-0.285,0.2,-0.285,True,armed,False,
