episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h21probe_K_g_20260710_020446,0,7.716667,1783645491.944705,1.999758,-0.500304,-0.0,0.899996,0.2,-0.2933,-0.00018,0.00309,camera_link,7.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.58,0.3877,-0.2933,0.0969,-0.0071,0.3356,,,gnm_closed_loop,0.2,-0.2933,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1181,True,0.3877,-0.2933,0.2,-0.2933,True,armed,False,
h21probe_K_g_20260710_020446,1,7.733334,1783645491.947272,2.000669,-0.499293,0.0,0.899844,0.2,-0.2933,-0.00018,0.00309,camera_link,7.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.58,0.3877,-0.2933,0.0969,-0.0071,0.3356,,,gnm_closed_loop,0.2,-0.2933,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1178,True,0.3877,-0.2933,0.2,-0.2933,True,armed,False,
h21probe_K_g_20260710_020446,2,7.75,1783645491.949959,2.002159,-0.497408,0.0,0.899886,0.2,-0.2933,-0.00018,0.00309,camera_link,7.75,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.58,0.3877,-0.2933,0.0969,-0.0071,0.3356,,,gnm_closed_loop,0.2,-0.2933,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1173,True,0.3877,-0.2933,0.2,-0.2933,True,armed,False,
h21probe_K_g_20260710_020446,3,7.766667,1783645491.971004,2.004016,-0.495072,0.0,0.899868,0.2,-0.2986,0.19032,0.00967,camera_link,7.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.86,0.3879,-0.2986,0.097,-0.0073,0.3341,,,gnm_closed_loop,0.2,-0.2986,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1167,True,0.3879,-0.2986,0.2,-0.2986,True,armed,False,
h21probe_K_g_20260710_020446,4,7.783334,1783645491.973294,2.006037,-0.492527,-0.0,0.899847,0.2,-0.2986,0.19032,0.00967,camera_link,7.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.86,0.3879,-0.2986,0.097,-0.0073,0.3341,,,gnm_closed_loop,0.2,-0.2986,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.116,True,0.3879,-0.2986,0.2,-0.2986,True,armed,False,
h21probe_K_g_20260710_020446,5,7.8,1783645491.975203,2.008093,-0.489937,-0.0,0.899823,0.2,-0.2986,0.19032,0.00967,camera_link,7.8,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.86,0.3879,-0.2986,0.097,-0.0073,0.3341,,,gnm_closed_loop,0.2,-0.2986,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1154,True,0.3879,-0.2986,0.2,-0.2986,True,armed,False,
h21probe_K_g_20260710_020446,6,7.816667,1783645491.992637,2.010153,-0.487341,-0.0,0.8998,0.2,-0.2857,0.199402,0.01767,camera_link,7.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.53,0.383,-0.2857,0.0957,-0.0068,0.3298,,,gnm_closed_loop,0.2,-0.2857,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1147,True,0.383,-0.2857,0.2,-0.2857,True,armed,False,
h21probe_K_g_20260710_020446,7,7.833334,1783645491.996035,2.012216,-0.484743,-0.0,0.89978,0.2,-0.2857,0.199402,0.01767,camera_link,7.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.53,0.383,-0.2857,0.0957,-0.0068,0.3298,,,gnm_closed_loop,0.2,-0.2857,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1141,True,0.383,-0.2857,0.2,-0.2857,True,armed,False,
h21probe_K_g_20260710_020446,8,7.85,1783645491.998265,2.014279,-0.482144,-0.0,0.899758,0.2,-0.2857,0.199402,0.01767,camera_link,7.85,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.53,0.383,-0.2857,0.0957,-0.0068,0.3298,,,gnm_closed_loop,0.2,-0.2857,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1135,True,0.383,-0.2857,0.2,-0.2857,True,armed,False,
h21probe_K_g_20260710_020446,9,7.866667,1783645492.01404,2.016341,-0.479546,-0.0,0.899737,0.2,-0.2433,0.199361,0.017366,camera_link,7.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.78,0.3637,-0.2433,0.0909,-0.0055,0.2938,,,gnm_closed_loop,0.2,-0.2433,False,0,,h21_spawn_precheck,,probe,,,,,,,False,h2_weave_J,1.1129,True,0.3637,-0.2433,0.2,-0.2433,True,armed,False,
