episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h2_ft_K_b_20260709_132427,0,9.716667,1783600675.885588,0.3,-4.700433,-0.0,1.5708,0.2,-0.2041,-0.00037,-7.2e-05,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,8.03,0.388,-0.2041,0.097,-0.005,0.4915,,,gnm_closed_loop,0.2,-0.2041,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6466,True,0.388,-0.2041,0.2,-0.2041,True,armed,False,
h2_ft_K_b_20260709_132427,1,9.733334,1783600675.888052,0.3,-4.698958,0.0,1.570826,0.2,-0.2041,-0.00037,-7.2e-05,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,8.03,0.388,-0.2041,0.097,-0.005,0.4915,,,gnm_closed_loop,0.2,-0.2041,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6453,True,0.388,-0.2041,0.2,-0.2041,True,armed,False,
h2_ft_K_b_20260709_132427,2,9.750001,1783600675.890232,0.299999,-4.69631,-0.0,1.57082,0.2,-0.2041,-0.00037,-7.2e-05,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,8.03,0.388,-0.2041,0.097,-0.005,0.4915,,,gnm_closed_loop,0.2,-0.2041,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6428,True,0.388,-0.2041,0.2,-0.2041,True,armed,False,
h2_ft_K_b_20260709_132427,3,9.766667,1783600675.914245,0.299999,-4.693126,-0.0,1.57081,0.2,-0.2008,0.197146,0.009243,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.86,0.3887,-0.2008,0.0972,-0.0049,0.4944,,,gnm_closed_loop,0.2,-0.2008,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6399,True,0.3887,-0.2008,0.2,-0.2008,True,armed,False,
h2_ft_K_b_20260709_132427,4,9.783334,1783600675.916657,0.299999,-4.689822,-0.0,1.570801,0.2,-0.2008,0.197146,0.009243,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.86,0.3887,-0.2008,0.0972,-0.0049,0.4944,,,gnm_closed_loop,0.2,-0.2008,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6369,True,0.3887,-0.2008,0.2,-0.2008,True,armed,False,
h2_ft_K_b_20260709_132427,5,9.800001,1783600675.919098,0.299999,-4.686505,-0.0,1.57079,0.2,-0.2008,0.197146,0.009243,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.86,0.3887,-0.2008,0.0972,-0.0049,0.4944,,,gnm_closed_loop,0.2,-0.2008,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6338,True,0.3887,-0.2008,0.2,-0.2008,True,armed,False,
h2_ft_K_b_20260709_132427,6,9.816667,1783600688.164484,0.299998,-4.683188,-0.0,1.570781,0.2,-0.2007,0.199374,0.009684,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.99,0.3884,-0.2007,0.0971,-0.0049,0.4838,,,gnm_closed_loop,0.2,-0.2007,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6308,True,0.3884,-0.2007,0.2,-0.2007,True,armed,False,
h2_ft_K_b_20260709_132427,7,9.833334,1783600688.166802,0.299998,-4.679869,-0.0,1.570772,0.2,-0.2007,0.199374,0.009684,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.99,0.3884,-0.2007,0.0971,-0.0049,0.4838,,,gnm_closed_loop,0.2,-0.2007,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6277,True,0.3884,-0.2007,0.2,-0.2007,True,armed,False,
h2_ft_K_b_20260709_132427,8,9.850001,1783600688.168697,0.299998,-4.67655,-0.0,1.570763,0.2,-0.2007,0.199374,0.009684,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.99,0.3884,-0.2007,0.0971,-0.0049,0.4838,,,gnm_closed_loop,0.2,-0.2007,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6246,True,0.3884,-0.2007,0.2,-0.2007,True,armed,False,
h2_ft_K_b_20260709_132427,9,9.866667,1783600703.525149,0.299998,-4.673233,-0.0,1.570753,0.2,-0.198,0.19933,0.01079,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.81,0.3883,-0.198,0.0971,-0.0048,0.4923,,,gnm_closed_loop,0.2,-0.198,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,5.6216,True,0.3883,-0.198,0.2,-0.198,True,armed,False,
