episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h2_ft_L_20260709_205308,0,9.716667,1783627611.300532,-4.500272,3.500273,1e-06,-0.785007,0.2,-0.2766,-0.000194,0.001921,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.26,0.2786,-0.2766,0.0697,-0.0048,0.4321,,,gnm_closed_loop,0.2,-0.2766,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5529,True,0.2786,-0.2766,0.2,-0.2766,True,armed,False,
h2_ft_L_20260709_205308,1,9.733334,1783627611.303108,-4.499273,3.499274,1e-06,-0.784887,0.2,-0.2766,-0.000194,0.001921,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.26,0.2786,-0.2766,0.0697,-0.0048,0.4321,,,gnm_closed_loop,0.2,-0.2766,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5515,True,0.2786,-0.2766,0.2,-0.2766,True,armed,False,
h2_ft_L_20260709_205308,2,9.750001,1783627611.305088,-4.497464,3.497467,1e-06,-0.7849,0.2,-0.2766,-0.000194,0.001921,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.26,0.2786,-0.2766,0.0697,-0.0048,0.4321,,,gnm_closed_loop,0.2,-0.2766,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5489,True,0.2786,-0.2766,0.2,-0.2766,True,armed,False,
h2_ft_L_20260709_205308,3,9.766667,1783627620.516956,-4.495252,3.495258,1e-06,-0.784922,0.2,-0.2747,0.195285,0.011633,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.23,0.2783,-0.2747,0.0696,-0.0048,0.4325,,,gnm_closed_loop,0.2,-0.2747,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5458,True,0.2783,-0.2747,0.2,-0.2747,True,armed,False,
h2_ft_L_20260709_205308,4,9.783334,1783627620.519323,-4.492921,3.492931,1e-06,-0.784942,0.2,-0.2747,0.195285,0.011633,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.23,0.2783,-0.2747,0.0696,-0.0048,0.4325,,,gnm_closed_loop,0.2,-0.2747,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5425,True,0.2783,-0.2747,0.2,-0.2747,True,armed,False,
h2_ft_L_20260709_205308,5,9.800001,1783627620.521346,-4.490574,3.490586,0.0,-0.784964,0.2,-0.2747,0.195285,0.011633,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.23,0.2783,-0.2747,0.0696,-0.0048,0.4325,,,gnm_closed_loop,0.2,-0.2747,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5392,True,0.2783,-0.2747,0.2,-0.2747,True,armed,False,
h2_ft_L_20260709_205308,6,9.816667,1783627632.811962,-4.488225,3.48824,1e-06,-0.784985,0.2,-0.2736,0.199448,0.016792,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,9.96,0.2782,-0.2736,0.0696,-0.0048,0.437,,,gnm_closed_loop,0.2,-0.2736,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5359,True,0.2782,-0.2736,0.2,-0.2736,True,armed,False,
h2_ft_L_20260709_205308,7,9.833334,1783627632.815616,-4.485875,3.485895,1e-06,-0.785008,0.2,-0.2736,0.199448,0.016792,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,9.96,0.2782,-0.2736,0.0696,-0.0048,0.437,,,gnm_closed_loop,0.2,-0.2736,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5325,True,0.2782,-0.2736,0.2,-0.2736,True,armed,False,
h2_ft_L_20260709_205308,8,9.850001,1783627632.817557,-4.483528,3.48355,1e-06,-0.785032,0.2,-0.2736,0.199448,0.016792,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,9.96,0.2782,-0.2736,0.0696,-0.0048,0.437,,,gnm_closed_loop,0.2,-0.2736,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5292,True,0.2782,-0.2736,0.2,-0.2736,True,armed,False,
h2_ft_L_20260709_205308,9,9.866667,1783627642.022717,-4.481179,3.481204,1e-06,-0.785053,0.2,-0.2752,0.199438,0.014618,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.84,0.2781,-0.2752,0.0695,-0.0048,0.4492,,,gnm_closed_loop,0.2,-0.2752,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5259,True,0.2781,-0.2752,0.2,-0.2752,True,armed,False,
h2_ft_L_20260709_205308,10,9.883334,1783627642.025353,-4.478828,3.478857,1e-06,-0.785073,0.2,-0.2752,0.199438,0.014618,camera_link,9.883334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.84,0.2781,-0.2752,0.0695,-0.0048,0.4492,,,gnm_closed_loop,0.2,-0.2752,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5226,True,0.2781,-0.2752,0.2,-0.2752,True,armed,False,
h2_ft_L_20260709_205308,11,9.900001,1783627642.028263,-4.476478,3.47651,0.0,-0.785098,0.2,-0.2752,0.199438,0.014618,camera_link,9.900001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.84,0.2781,-0.2752,0.0695,-0.0048,0.4492,,,gnm_closed_loop,0.2,-0.2752,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5193,True,0.2781,-0.2752,0.2,-0.2752,True,armed,False,
h2_ft_L_20260709_205308,12,9.916667,1783627642.049375,-4.47413,3.474163,1e-06,-0.785119,0.2,-0.2745,0.19937,0.016132,camera_link,9.916667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.73,0.2759,-0.2745,0.069,-0.0047,0.449,,,gnm_closed_loop,0.2,-0.2745,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.516,True,0.2759,-0.2745,0.2,-0.2745,True,armed,False,
h2_ft_L_20260709_205308,13,9.933334,1783627642.051895,-4.471781,3.471815,1e-06,-0.785139,0.2,-0.2745,0.19937,0.016132,camera_link,9.933334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.73,0.2759,-0.2745,0.069,-0.0047,0.449,,,gnm_closed_loop,0.2,-0.2745,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5126,True,0.2759,-0.2745,0.2,-0.2745,True,armed,False,
h2_ft_L_20260709_205308,14,9.950001,1783627642.053719,-4.469431,3.469467,1e-06,-0.785161,0.2,-0.2745,0.19937,0.016132,camera_link,9.950001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,5.73,0.2759,-0.2745,0.069,-0.0047,0.449,,,gnm_closed_loop,0.2,-0.2745,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5093,True,0.2759,-0.2745,0.2,-0.2745,True,armed,False,
h2_ft_L_20260709_205308,15,9.966667,1783627651.238603,-4.467082,3.46712,0.0,-0.785183,0.2,-0.2851,0.199302,0.013506,camera_link,9.966667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.83,0.2677,-0.2851,0.0669,-0.0048,0.4479,,,gnm_closed_loop,0.2,-0.2851,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.506,True,0.2677,-0.2851,0.2,-0.2851,True,armed,False,
