episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h2_ft_L_r2_20260709_223911,0,9.716667,1783634002.664696,-4.500272,3.500273,1e-06,-0.785007,0.2,-0.2738,-0.000194,0.001921,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,3.91,0.2795,-0.2738,0.0699,-0.0048,0.4372,,,gnm_closed_loop,0.2,-0.2738,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5529,True,0.2795,-0.2738,0.2,-0.2738,True,armed,False,
h2_ft_L_r2_20260709_223911,1,9.733334,1783634002.667159,-4.499273,3.499274,1e-06,-0.784887,0.2,-0.2738,-0.000194,0.001921,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,3.91,0.2795,-0.2738,0.0699,-0.0048,0.4372,,,gnm_closed_loop,0.2,-0.2738,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5515,True,0.2795,-0.2738,0.2,-0.2738,True,armed,False,
h2_ft_L_r2_20260709_223911,2,9.750001,1783634002.669656,-4.497459,3.497463,1e-06,-0.7849,0.2,-0.2738,-0.000194,0.001921,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,3.91,0.2795,-0.2738,0.0699,-0.0048,0.4372,,,gnm_closed_loop,0.2,-0.2738,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5489,True,0.2795,-0.2738,0.2,-0.2738,True,armed,False,
h2_ft_L_r2_20260709_223911,3,9.766667,1783634002.686382,-4.495237,3.495243,1e-06,-0.784919,0.2,-0.2753,0.196154,0.012732,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.86,0.2784,-0.2753,0.0696,-0.0048,0.4415,,,gnm_closed_loop,0.2,-0.2753,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5458,True,0.2784,-0.2753,0.2,-0.2753,True,armed,False,
h2_ft_L_r2_20260709_223911,4,9.783334,1783634002.688652,-4.492905,3.492915,1e-06,-0.784949,0.2,-0.2753,0.196154,0.012732,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.86,0.2784,-0.2753,0.0696,-0.0048,0.4415,,,gnm_closed_loop,0.2,-0.2753,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5425,True,0.2784,-0.2753,0.2,-0.2753,True,armed,False,
h2_ft_L_r2_20260709_223911,5,9.800001,1783634003.491564,-4.490559,3.490571,1e-06,-0.784969,0.2,-0.2753,0.196154,0.012732,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.86,0.2784,-0.2753,0.0696,-0.0048,0.4415,,,gnm_closed_loop,0.2,-0.2753,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5392,True,0.2784,-0.2753,0.2,-0.2753,True,armed,False,
h2_ft_L_r2_20260709_223911,6,9.816667,1783634005.736307,-4.488208,3.488226,1e-06,-0.784994,0.2,-0.2691,0.199334,0.013285,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.53,0.2795,-0.2691,0.0699,-0.0047,0.4494,,,gnm_closed_loop,0.2,-0.2691,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5358,True,0.2795,-0.2691,0.2,-0.2691,True,armed,False,
h2_ft_L_r2_20260709_223911,7,9.833334,1783634005.738675,-4.485859,3.48588,1e-06,-0.785013,0.2,-0.2691,0.199334,0.013285,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.53,0.2795,-0.2691,0.0699,-0.0047,0.4494,,,gnm_closed_loop,0.2,-0.2691,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5325,True,0.2795,-0.2691,0.2,-0.2691,True,armed,False,
h2_ft_L_r2_20260709_223911,8,9.850001,1783634005.740515,-4.483509,3.483533,0.0,-0.785036,0.2,-0.2691,0.199334,0.013285,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,4.53,0.2795,-0.2691,0.0699,-0.0047,0.4494,,,gnm_closed_loop,0.2,-0.2691,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5292,True,0.2795,-0.2691,0.2,-0.2691,True,armed,False,
h2_ft_L_r2_20260709_223911,9,9.866667,1783634011.885928,-4.481161,3.481187,1e-06,-0.785055,0.2,-0.2696,0.199571,0.012282,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/hospital_front_rgb_finetune/best.pt,9.87,0.2756,-0.2696,0.0689,-0.0047,0.4492,,,gnm_closed_loop,0.2,-0.2696,False,0,,hospital_h2_collection,,collector=hospital_front_rgb_finetune;difficulty=test_long,,,,,,,False,h2_test_long_L,9.5259,True,0.2756,-0.2696,0.2,-0.2696,True,armed,False,
