episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
h2_td_K_20260709_202645,0,9.716667,1783626013.156231,0.0,-5.000433,0.0,1.5708,0.2,0.0536,-0.000381,-0.000173,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.32,0.8898,0.0536,0.2224,0.003,0.4235,,,gnm_closed_loop,0.2,0.0536,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0419,True,0.8898,0.0536,0.2,0.0536,True,armed,False,
h2_td_K_20260709_202645,1,9.733334,1783626013.158708,-2e-06,-4.998992,0.0,1.570866,0.2,0.0536,-0.000381,-0.000173,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.32,0.8898,0.0536,0.2224,0.003,0.4235,,,gnm_closed_loop,0.2,0.0536,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0406,True,0.8898,0.0536,0.2,0.0536,True,armed,False,
h2_td_K_20260709_202645,2,9.750001,1783626013.160571,-3e-06,-4.99634,0.0,1.57087,0.2,0.0536,-0.000381,-0.000173,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.32,0.8898,0.0536,0.2224,0.003,0.4235,,,gnm_closed_loop,0.2,0.0536,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0382,True,0.8898,0.0536,0.2,0.0536,True,armed,False,
h2_td_K_20260709_202645,3,9.766667,1783626028.519483,-3e-06,-4.993108,0.0,1.570873,0.2,0.0536,0.198207,-0.003849,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.57,0.8859,0.0536,0.2215,0.003,0.4249,,,gnm_closed_loop,0.2,0.0536,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0353,True,0.8859,0.0536,0.2,0.0536,True,armed,False,
h2_td_K_20260709_202645,4,9.783334,1783626028.521996,-3e-06,-4.989796,0.0,1.570875,0.2,0.0536,0.198207,-0.003849,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.57,0.8859,0.0536,0.2215,0.003,0.4249,,,gnm_closed_loop,0.2,0.0536,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0322,True,0.8859,0.0536,0.2,0.0536,True,armed,False,
h2_td_K_20260709_202645,5,9.800001,1783626028.523946,-3e-06,-4.986475,-0.0,1.570876,0.2,0.0536,0.198207,-0.003849,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.57,0.8859,0.0536,0.2215,0.003,0.4249,,,gnm_closed_loop,0.2,0.0536,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0292,True,0.8859,0.0536,0.2,0.0536,True,armed,False,
h2_td_K_20260709_202645,6,9.816667,1783626028.541763,-3e-06,-4.983152,-0.0,1.570878,0.2,0.0573,0.199872,-0.003058,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,5.2,0.9069,0.0573,0.2267,0.0032,0.4358,,,gnm_closed_loop,0.2,0.0573,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0262,True,0.9069,0.0573,0.2,0.0573,True,armed,False,
h2_td_K_20260709_202645,7,9.833334,1783626028.54419,-3e-06,-4.979827,-0.0,1.570881,0.2,0.0573,0.199872,-0.003058,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,5.2,0.9069,0.0573,0.2267,0.0032,0.4358,,,gnm_closed_loop,0.2,0.0573,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0232,True,0.9069,0.0573,0.2,0.0573,True,armed,False,
h2_td_K_20260709_202645,8,9.850001,1783626028.546126,-4e-06,-4.976503,-0.0,1.570883,0.2,0.0573,0.199872,-0.003058,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,5.2,0.9069,0.0573,0.2267,0.0032,0.4358,,,gnm_closed_loop,0.2,0.0573,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0201,True,0.9069,0.0573,0.2,0.0573,True,armed,False,
h2_td_K_20260709_202645,9,9.866667,1783626031.591111,-4e-06,-4.973177,-0.0,1.570885,0.2,0.0567,0.200001,-0.002827,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/scene_holdout_mnv2_baseline/best.pt,4.88,0.9078,0.0567,0.227,0.0032,0.4233,,,gnm_closed_loop,0.2,0.0567,False,0,,hospital_h2_collection,,collector=topdown_incumbent_diagnostic;difficulty=near_desk_turn,,,,,,,False,h2_near_desk_K,6.0171,True,0.9078,0.0567,0.2,0.0567,True,armed,False,
