episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason,stop_head_enabled,stop_head_mode,stop_head_model_path,stop_head_latency_ms,stop_probability,stop_decision_shadow,stop_threshold,stop_reason_shadow,distance_to_goal_at_stop_signal,nearest_goal_distance_so_far,overshoot_detected,would_have_stopped_step,would_have_stopped_sim_time,stop_authority_enabled
hospital_low_curvature_C_20260708_143004,0,9.716667,1783517407.74058,2.000273,-2.000274,-0.0,2.355987,0.2,-0.005971,-0.000176,0.003113,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.19,0.3,-0.006,0.8026,-0.0048,10.3,,,gnm_closed_loop,0.2,-0.005971,hospital_goal_C,3.0246,True,0.3,-0.005971,0.2,-0.005971,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0246,False,,,False
hospital_low_curvature_C_20260708_143004,1,9.733334,1783517407.743131,1.99927,-1.999278,0.0,2.356479,0.2,-0.005971,-0.000176,0.003113,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.19,0.3,-0.006,0.8026,-0.0048,10.3,,,gnm_closed_loop,0.2,-0.005971,hospital_goal_C,3.0232,True,0.3,-0.005971,0.2,-0.005971,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0246,False,,,False
hospital_low_curvature_C_20260708_143004,2,9.750001,1783517407.744965,1.997437,-1.997451,0.0,2.35648,0.2,-0.005971,-0.000176,0.003113,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.19,0.3,-0.006,0.8026,-0.0048,10.3,,,gnm_closed_loop,0.2,-0.005971,hospital_goal_C,3.0206,True,0.3,-0.005971,0.2,-0.005971,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0246,False,,,False
hospital_low_curvature_C_20260708_143004,3,9.766667,1783517407.768765,1.995185,-1.995201,-0.0,2.356482,0.2,-0.005772,0.1972,-0.000382,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.12,0.3,-0.0058,0.8024,-0.0046,10.26,,,gnm_closed_loop,0.2,-0.005772,hospital_goal_C,3.0174,True,0.3,-0.005772,0.2,-0.005772,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0174,False,,,False
hospital_low_curvature_C_20260708_143004,4,9.783334,1783517407.771181,1.992847,-1.992864,-0.0,2.356482,0.2,-0.005772,0.1972,-0.000382,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.12,0.3,-0.0058,0.8024,-0.0046,10.26,,,gnm_closed_loop,0.2,-0.005772,hospital_goal_C,3.0142,True,0.3,-0.005772,0.2,-0.005772,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0174,False,,,False
hospital_low_curvature_C_20260708_143004,5,9.800001,1783517407.773256,1.990497,-1.990516,-0.0,2.356482,0.2,-0.005772,0.1972,-0.000382,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,13.12,0.3,-0.0058,0.8024,-0.0046,10.26,,,gnm_closed_loop,0.2,-0.005772,hospital_goal_C,3.0109,True,0.3,-0.005772,0.2,-0.005772,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0174,False,,,False
hospital_low_curvature_C_20260708_143004,6,9.816667,1783517407.797337,1.988146,-1.988166,-0.0,2.356481,0.2,-0.003737,0.199817,0.000155,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.94,0.3,-0.0037,0.8035,-0.003,9.94,,,gnm_closed_loop,0.2,-0.003737,hospital_goal_C,3.0076,True,0.3,-0.003737,0.2,-0.003737,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0076,False,,,False
hospital_low_curvature_C_20260708_143004,7,9.833334,1783517407.799889,1.985794,-1.985816,-0.0,2.356482,0.2,-0.003737,0.199817,0.000155,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.94,0.3,-0.0037,0.8035,-0.003,9.94,,,gnm_closed_loop,0.2,-0.003737,hospital_goal_C,3.0043,True,0.3,-0.003737,0.2,-0.003737,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0076,False,,,False
hospital_low_curvature_C_20260708_143004,8,9.850001,1783517407.801763,1.983443,-1.983465,-0.0,2.356482,0.2,-0.003737,0.199817,0.000155,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.94,0.3,-0.0037,0.8035,-0.003,9.94,,,gnm_closed_loop,0.2,-0.003737,hospital_goal_C,3.001,True,0.3,-0.003737,0.2,-0.003737,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,3.0076,False,,,False
hospital_low_curvature_C_20260708_143004,9,9.866667,1783517407.824944,1.981091,-1.981115,-0.0,2.356481,0.2,-0.003339,0.199815,-8.6e-05,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.93,0.3,-0.0033,0.8009,-0.0027,9.62,,,gnm_closed_loop,0.2,-0.003339,hospital_goal_C,2.9977,True,0.3,-0.003339,0.2,-0.003339,True,armed,False,,True,shadow,results/bo_reviewer_packet/temporal_stop_head/22_temporal_stop_head_model.pt,,,False,0.5,sequence_warmup,,2.9977,False,,,False
