episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
livefinal_low_curvature_20260708_180949,0,9.716667,1783530591.917378,2.000264,-2.000266,-0.0,2.355988,0.2,-0.0334,-0.000187,0.005598,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.35,0.4368,-0.0334,0.1092,-0.0009,0.3319,,,gnm_closed_loop,0.2,-0.0334,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0245,True,0.4368,-0.0334,0.2,-0.0334,True,armed,False,
livefinal_low_curvature_20260708_180949,1,9.733334,1783530591.920064,1.999237,-1.99925,0.0,2.356493,0.2,-0.0334,-0.000187,0.005598,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.35,0.4368,-0.0334,0.1092,-0.0009,0.3319,,,gnm_closed_loop,0.2,-0.0334,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0231,True,0.4368,-0.0334,0.2,-0.0334,True,armed,False,
livefinal_low_curvature_20260708_180949,2,9.750001,1783530591.922091,1.997383,-1.997402,1e-06,2.35649,0.2,-0.0334,-0.000187,0.005598,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.35,0.4368,-0.0334,0.1092,-0.0009,0.3319,,,gnm_closed_loop,0.2,-0.0334,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0205,True,0.4368,-0.0334,0.2,-0.0334,True,armed,False,
livefinal_low_curvature_20260708_180949,3,9.766667,1783530591.939118,1.995129,-1.99515,-0.0,2.35649,0.2,-0.0334,0.197245,0.001161,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.75,0.4314,-0.0334,0.1079,-0.0009,0.3303,,,gnm_closed_loop,0.2,-0.0334,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0174,True,0.4314,-0.0334,0.2,-0.0334,True,armed,False,
livefinal_low_curvature_20260708_180949,4,9.783334,1783530591.941477,1.992791,-1.992813,-0.0,2.356488,0.2,-0.0334,0.197245,0.001161,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.75,0.4314,-0.0334,0.1079,-0.0009,0.3303,,,gnm_closed_loop,0.2,-0.0334,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0141,True,0.4314,-0.0334,0.2,-0.0334,True,armed,False,
livefinal_low_curvature_20260708_180949,5,9.800001,1783530591.943479,1.990441,-1.990464,-0.0,2.356488,0.2,-0.0334,0.197245,0.001161,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.75,0.4314,-0.0334,0.1079,-0.0009,0.3303,,,gnm_closed_loop,0.2,-0.0334,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0108,True,0.4314,-0.0334,0.2,-0.0334,True,armed,False,
livefinal_low_curvature_20260708_180949,6,9.816667,1783530591.959093,1.988089,-1.988114,-0.0,2.356486,0.2,-0.0325,0.199801,0.001738,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.21,0.4368,-0.0325,0.1092,-0.0009,0.3328,,,gnm_closed_loop,0.2,-0.0325,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0075,True,0.4368,-0.0325,0.2,-0.0325,True,armed,False,
livefinal_low_curvature_20260708_180949,7,9.833334,1783530591.961343,1.985738,-1.985764,-0.0,2.356485,0.2,-0.0325,0.199801,0.001738,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.21,0.4368,-0.0325,0.1092,-0.0009,0.3328,,,gnm_closed_loop,0.2,-0.0325,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0042,True,0.4368,-0.0325,0.2,-0.0325,True,armed,False,
livefinal_low_curvature_20260708_180949,8,9.850001,1783530591.96393,1.983386,-1.983414,-0.0,2.356485,0.2,-0.0325,0.199801,0.001738,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.21,0.4368,-0.0325,0.1092,-0.0009,0.3328,,,gnm_closed_loop,0.2,-0.0325,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,3.0009,True,0.4368,-0.0325,0.2,-0.0325,True,armed,False,
livefinal_low_curvature_20260708_180949,9,9.866667,1783530591.979016,1.981035,-1.981064,-0.0,2.356483,0.2,-0.0331,0.199808,0.001725,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.57,0.4485,-0.0331,0.1121,-0.0009,0.3357,,,gnm_closed_loop,0.2,-0.0331,False,0,,isaac_live_final_20260708,,selected_baseline_live,,,,,,,False,hospital_goal_C,2.9976,True,0.4485,-0.0331,0.2,-0.0331,True,armed,False,
