episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
physeval_collision_control2_20260708_173407,0,9.716667,1783528450.180744,-0.5,-0.000411,0.0,1.570801,0.1855,-0.1389,-0.000166,-0.000237,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.52,0.1855,-0.1389,0.0464,-0.0016,0.3746,,,gnm_closed_loop,0.1855,-0.1389,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1182,True,0.1855,-0.1389,0.1855,-0.1389,False,armed,False,
physeval_collision_control2_20260708_173407,1,9.733334,1783528450.183373,-0.5,0.001025,0.0,1.570821,0.1855,-0.1389,-0.000166,-0.000237,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.52,0.1855,-0.1389,0.0464,-0.0016,0.3746,,,gnm_closed_loop,0.1855,-0.1389,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1176,True,0.1855,-0.1389,0.1855,-0.1389,False,armed,False,
physeval_collision_control2_20260708_173407,2,9.750001,1783528450.185296,-0.5,0.003568,0.0,1.570817,0.1855,-0.1389,-0.000166,-0.000237,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.52,0.1855,-0.1389,0.0464,-0.0016,0.3746,,,gnm_closed_loop,0.1855,-0.1389,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1164,True,0.1855,-0.1389,0.1855,-0.1389,False,armed,False,
physeval_collision_control2_20260708_173407,3,9.766667,1783528450.202211,-0.5,0.006568,0.0,1.570812,0.1932,-0.1381,0.183722,0.005838,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.24,0.1932,-0.1381,0.0483,-0.0017,0.3749,,,gnm_closed_loop,0.1932,-0.1381,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1151,True,0.1932,-0.1381,0.1932,-0.1381,False,armed,False,
physeval_collision_control2_20260708_173407,4,9.783334,1783528450.20523,-0.5,0.009714,0.0,1.570807,0.1932,-0.1381,0.183722,0.005838,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.24,0.1932,-0.1381,0.0483,-0.0017,0.3749,,,gnm_closed_loop,0.1932,-0.1381,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1137,True,0.1932,-0.1381,0.1932,-0.1381,False,armed,False,
physeval_collision_control2_20260708_173407,5,9.800001,1783528450.207182,-0.5,0.012917,0.0,1.570802,0.1932,-0.1381,0.183722,0.005838,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.24,0.1932,-0.1381,0.0483,-0.0017,0.3749,,,gnm_closed_loop,0.1932,-0.1381,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1123,True,0.1932,-0.1381,0.1932,-0.1381,False,armed,False,
physeval_collision_control2_20260708_173407,6,9.816667,1783528450.22771,-0.5,0.016127,0.0,1.570797,0.1969,-0.1326,0.19292,0.006287,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.26,0.1969,-0.1326,0.0492,-0.0016,0.3727,,,gnm_closed_loop,0.1969,-0.1326,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1109,True,0.1969,-0.1326,0.1969,-0.1326,False,armed,False,
physeval_collision_control2_20260708_173407,7,9.833334,1783528450.230674,-0.5,0.019373,0.0,1.570792,0.1969,-0.1326,0.19292,0.006287,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.26,0.1969,-0.1326,0.0492,-0.0016,0.3727,,,gnm_closed_loop,0.1969,-0.1326,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1095,True,0.1969,-0.1326,0.1969,-0.1326,False,armed,False,
physeval_collision_control2_20260708_173407,8,9.850001,1783528450.232624,-0.500001,0.022642,0.0,1.570788,0.1969,-0.1326,0.19292,0.006287,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,4.26,0.1969,-0.1326,0.0492,-0.0016,0.3727,,,gnm_closed_loop,0.1969,-0.1326,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1081,True,0.1969,-0.1326,0.1969,-0.1326,False,armed,False,
physeval_collision_control2_20260708_173407,9,9.866667,1783528450.248746,-0.500001,0.025915,0.0,1.570783,0.2,-0.1371,0.196641,0.00644,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.91,0.2029,-0.1371,0.0507,-0.0017,0.3713,,,gnm_closed_loop,0.2,-0.1371,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1067,True,0.2029,-0.1371,0.2,-0.1371,True,armed,False,
physeval_collision_control2_20260708_173407,10,9.883334,1783528450.251305,-0.500001,0.029217,0.0,1.570778,0.2,-0.1371,0.196641,0.00644,camera_link,9.883334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.91,0.2029,-0.1371,0.0507,-0.0017,0.3713,,,gnm_closed_loop,0.2,-0.1371,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1053,True,0.2029,-0.1371,0.2,-0.1371,True,armed,False,
physeval_collision_control2_20260708_173407,11,9.900001,1783528450.253376,-0.500001,0.032539,0.0,1.570772,0.2,-0.1371,0.196641,0.00644,camera_link,9.900001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.91,0.2029,-0.1371,0.0507,-0.0017,0.3713,,,gnm_closed_loop,0.2,-0.1371,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1039,True,0.2029,-0.1371,0.2,-0.1371,True,armed,False,
physeval_collision_control2_20260708_173407,12,9.916667,1783528450.270655,-0.500001,0.035863,0.0,1.570767,0.1905,-0.1431,0.199739,0.006401,camera_link,9.916667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_baseline/best.pt,5.37,0.1905,-0.1431,0.0476,-0.0017,0.3655,,,gnm_closed_loop,0.1905,-0.1431,False,0,,isaac_physics_smoke_20260708,,positive_control_chairs,,,,,,,False,hospital_fresh_short_F,1.1025,True,0.1905,-0.1431,0.1905,-0.1431,False,armed,False,
