episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,collision_detected,collision_count_so_far,collision_body,experiment_id,pair_id,condition,stop_rule_name,stop_rule_threshold,stop_rule_k,stop_rule_ratio,initial_predicted_distance,normalized_predicted_distance,stop_triggered,goal_id,distance_to_goal_m,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
physeval_ema_D_20260708_172739,0,9.716667,1783528061.894284,-1.500272,1.500271,0.0,-0.78501,0.2,0.0703,-0.000182,0.004332,camera_link,9.716667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,4.71,0.8198,0.0703,0.2049,0.0036,0.2551,,,gnm_closed_loop,0.2,0.0703,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.5035,True,0.8198,0.0703,0.2,0.0703,True,armed,False,
physeval_ema_D_20260708_172739,1,9.733334,1783528061.897539,-1.499276,1.499283,1e-06,-0.78475,0.2,0.0703,-0.000182,0.004332,camera_link,9.733334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,4.71,0.8198,0.0703,0.2049,0.0036,0.2551,,,gnm_closed_loop,0.2,0.0703,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.5021,True,0.8198,0.0703,0.2,0.0703,True,armed,False,
physeval_ema_D_20260708_172739,2,9.750001,1783528061.899659,-1.497437,1.497448,1e-06,-0.784758,0.2,0.0703,-0.000182,0.004332,camera_link,9.750001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,4.71,0.8198,0.0703,0.2049,0.0036,0.2551,,,gnm_closed_loop,0.2,0.0703,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.4995,True,0.8198,0.0703,0.2,0.0703,True,armed,False,
physeval_ema_D_20260708_172739,3,9.766667,1783528061.924813,-1.495162,1.495175,0.0,-0.784755,0.2,0.0712,0.197847,-0.004917,camera_link,9.766667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,11.09,0.8186,0.0712,0.2046,0.0036,0.2552,,,gnm_closed_loop,0.2,0.0712,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.4963,True,0.8186,0.0712,0.2,0.0712,True,armed,False,
physeval_ema_D_20260708_172739,4,9.783334,1783528061.931581,-1.492819,1.492835,0.0,-0.784751,0.2,0.0712,0.197847,-0.004917,camera_link,9.783334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,11.09,0.8186,0.0712,0.2046,0.0036,0.2552,,,gnm_closed_loop,0.2,0.0712,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.493,True,0.8186,0.0712,0.2,0.0712,True,armed,False,
physeval_ema_D_20260708_172739,5,9.800001,1783528061.937129,-1.490468,1.490487,0.0,-0.784749,0.2,0.0712,0.197847,-0.004917,camera_link,9.800001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,11.09,0.8186,0.0712,0.2046,0.0036,0.2552,,,gnm_closed_loop,0.2,0.0712,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.4897,True,0.8186,0.0712,0.2,0.0712,True,armed,False,
physeval_ema_D_20260708_172739,6,9.816667,1783528061.961714,-1.488116,1.488137,0.0,-0.784746,0.2,0.0734,0.199872,-0.003778,camera_link,9.816667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,4.75,0.8094,0.0734,0.2024,0.0037,0.2489,,,gnm_closed_loop,0.2,0.0734,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.4864,True,0.8094,0.0734,0.2,0.0734,True,armed,False,
physeval_ema_D_20260708_172739,7,9.833334,1783528061.964348,-1.485763,1.485788,0.0,-0.784743,0.2,0.0734,0.199872,-0.003778,camera_link,9.833334,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,4.75,0.8094,0.0734,0.2024,0.0037,0.2489,,,gnm_closed_loop,0.2,0.0734,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.483,True,0.8094,0.0734,0.2,0.0734,True,armed,False,
physeval_ema_D_20260708_172739,8,9.850001,1783528061.967467,-1.483411,1.483438,0.0,-0.784741,0.2,0.0734,0.199872,-0.003778,camera_link,9.850001,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,4.75,0.8094,0.0734,0.2024,0.0037,0.2489,,,gnm_closed_loop,0.2,0.0734,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.4797,True,0.8094,0.0734,0.2,0.0734,True,armed,False,
physeval_ema_D_20260708_172739,9,9.866667,1783528061.98382,-1.481059,1.481089,0.0,-0.784738,0.2,0.0732,0.199846,-0.004123,camera_link,9.866667,gnm_closed_loop,,nominal,,True,ok,checkpoints/ablation_mnv2_ema0999/best.pt,5.15,0.8089,0.0732,0.2022,0.0037,0.2488,,,gnm_closed_loop,0.2,0.0732,False,0,,isaac_physics_smoke_20260708,,mnv2_ema0999,,,,,,,False,hospital_holdout_short_D,2.4764,True,0.8089,0.0732,0.2,0.0732,True,armed,False,
