step,x,y,yaw,dist_to_goal,min_obs_dist
0,-2.4775,0.0000,0.0014,6.9775,3.8012
1,-2.4393,0.0001,0.0071,6.9393,3.7788
2,-2.3900,0.0004,0.0135,6.8900,3.7405
3,-2.3330,0.0012,0.0249,6.8330,3.6913
4,-2.2706,0.0027,0.0462,6.7706,3.6343
5,-2.2045,0.0058,0.0768,6.7045,3.5719
6,-2.1359,0.0111,0.1023,6.6359,3.5057
7,-2.0656,0.0183,0.1222,6.5656,3.4370
8,-1.9941,0.0271,0.1419,6.4942,3.3665
9,-1.9220,0.0374,0.1596,6.4221,3.2949
10,-1.8494,0.0490,0.1785,6.3496,3.2226
11,-1.7766,0.0622,0.1966,6.2769,3.1498
12,-1.7038,0.0767,0.2166,6.2043,3.0768
13,-1.6310,0.0927,0.2323,6.1317,3.0039
14,-1.5584,0.1099,0.2443,6.0594,2.9310
15,-1.4859,0.1280,0.2593,5.9872,2.8584
16,-1.4135,0.1471,0.2742,5.9154,2.7860
17,-1.3415,0.1674,0.2915,5.8439,2.7139
18,-1.2697,0.1890,0.3102,5.7728,2.6423
19,-1.1983,0.2118,0.3267,5.7023,2.5711
20,-1.1273,0.2359,0.3446,5.6323,2.5007
21,-1.0568,0.2612,0.3608,5.5629,2.4309
22,-0.9866,0.2877,0.3805,5.4942,2.3619
23,-0.9170,0.3155,0.3992,5.4262,2.2937
24,-0.8479,0.3447,0.4153,5.3590,2.2266
25,-0.7793,0.3749,0.4275,5.2926,2.1606
26,-0.7111,0.4060,0.4409,5.2268,2.0958
27,-0.6432,0.4380,0.4550,5.1618,2.0321
28,-0.5759,0.4710,0.4700,5.0977,1.9697
29,-0.5090,0.5050,0.4849,5.0344,1.9088
30,-0.4426,0.5399,0.4987,4.9720,1.8494
31,-0.3768,0.5758,0.5179,4.9106,1.7918
32,-0.3116,0.6129,0.5323,4.8505,1.7361
33,-0.2470,0.6510,0.5447,4.7914,1.6828
34,-0.1828,0.6898,0.5547,4.7334,1.6318
35,-0.1191,0.7293,0.5692,4.6763,1.5832
36,-0.0559,0.7698,0.5806,4.6205,1.5371
37,0.0068,0.8109,0.5900,4.5658,1.4939
38,0.0691,0.8526,0.5971,4.5122,1.4538
39,0.1311,0.8948,0.6049,4.4596,1.4167
40,0.1928,0.9374,0.6172,4.4080,1.3829
41,0.2540,0.9809,0.6323,4.3578,1.3524
42,0.3145,1.0252,0.6442,4.3092,1.3259
43,0.3745,1.0702,0.6549,4.2621,1.3038
44,0.4339,1.1159,0.6660,4.2164,1.2860
45,0.4929,1.1622,0.6787,4.1722,1.2726
46,0.5513,1.2093,0.6959,4.1297,1.2638
47,0.6089,1.2574,0.7145,4.0893,1.2597
48,0.6655,1.3066,0.7352,4.0510,1.2607
49,0.7211,1.3569,0.7521,4.0151,1.2670
50,0.7759,1.4081,0.7681,3.9814,1.2786
51,0.8299,1.4602,0.7899,3.9500,1.2951
52,0.8826,1.5135,0.8112,3.9212,1.3163
53,0.9343,1.5679,0.8319,3.8952,1.3424
54,0.9848,1.6233,0.8517,3.8719,1.3731
55,1.0342,1.6797,0.8691,3.8514,1.4081
56,1.0826,1.7370,0.8867,3.8335,1.4470
57,1.1300,1.7951,0.9082,3.8183,1.4894
58,1.1762,1.8543,0.9280,3.8061,1.5350
59,1.2211,1.9143,0.9518,3.7968,1.5839
60,1.2646,1.9754,0.9722,3.7907,1.6356
61,1.3069,2.0373,0.9938,3.7877,1.6901
62,1.3478,2.1002,1.0143,3.7878,1.7469
63,1.3874,2.1639,1.0392,3.7908,1.8060
64,1.4254,2.2285,1.0643,3.7973,1.8669
65,1.4618,2.2941,1.0835,3.8070,1.9298
66,1.4969,2.3604,1.1036,3.8197,1.9944
67,1.5307,2.4273,1.1238,3.8352,2.0604
68,1.5631,2.4950,1.1435,3.8536,2.1275
69,1.5942,2.5632,1.1608,3.8748,2.1958
70,1.6241,2.6320,1.1771,3.8985,2.2650
71,1.6529,2.7013,1.1913,3.9247,2.3351
72,1.6807,2.7709,1.2087,3.9531,2.4058
73,1.7072,2.8411,1.2279,3.9839,2.4770
74,1.7325,2.9117,1.2455,4.0171,2.5489
75,1.7564,2.9828,1.2623,4.0527,2.6213
76,1.7792,3.0542,1.2771,4.0904,2.6942
77,1.8009,3.1260,1.2937,4.1300,2.7674
78,1.8214,3.1982,1.3080,4.1717,2.8410
79,1.8409,3.2706,1.3206,4.2152,2.9148
80,1.8595,3.3433,1.3311,4.2602,2.9889
81,1.8773,3.4161,1.3472,4.3068,3.0631
82,1.8939,3.4892,1.3613,4.3550,3.1375
83,1.9095,3.5626,1.3764,4.4049,3.2121
84,1.9240,3.6362,1.3976,4.4562,3.2867
85,1.9369,3.7101,1.4184,4.5093,3.3615
86,1.9483,3.7842,1.4393,4.5641,3.4364
87,1.9582,3.8586,1.4602,4.6205,3.5114
88,1.9664,3.9331,1.4798,4.6785,3.5864
89,1.9733,4.0078,1.4984,4.7378,3.6614
90,1.9787,4.0826,1.5179,4.7984,3.7363
91,1.9826,4.1575,1.5352,4.8602,3.8112
92,1.9853,4.2324,1.5510,4.9231,3.8861
93,1.9868,4.3074,1.5666,4.9870,3.9608
94,1.9871,4.3824,1.5877,5.0518,4.0355
95,1.9858,4.4574,1.6054,5.1176,4.1100
96,1.9833,4.5324,1.6252,5.1842,4.1844
97,1.9792,4.6073,1.6438,5.2518,4.2586
98,1.9737,4.6821,1.6669,5.3201,4.3327
99,1.9665,4.7567,1.6876,5.3893,4.4065
100,1.9578,4.8312,1.7047,5.4592,4.4800
101,1.9478,4.9055,1.7270,5.5297,4.5533
102,1.9361,4.9796,1.7467,5.6009,4.6263
103,1.9230,5.0535,1.7631,5.6726,4.6991
104,1.9086,5.1271,1.7797,5.7447,4.7715
105,1.8931,5.2004,1.7943,5.8173,4.8437
106,1.8765,5.2736,1.8109,5.8901,4.9156
107,1.8586,5.3464,1.8266,5.9633,4.9873
108,1.8396,5.4190,1.8462,6.0368,5.0587
109,1.8192,5.4912,1.8665,6.1106,5.1298
110,1.7974,5.5629,1.8833,6.1847,5.2006
111,1.7743,5.6343,1.8996,6.2589,5.2710
112,1.7501,5.7052,1.9181,6.3334,5.3411
113,1.7246,5.7758,1.9386,6.4080,5.4108
114,1.6976,5.8458,1.9586,6.4828,5.4802
115,1.6692,5.9152,1.9769,6.5576,5.5492
116,1.6396,5.9841,1.9975,6.6326,5.6176
117,1.6086,6.0524,2.0247,6.7076,5.6857
118,1.5757,6.1198,2.0498,6.7826,5.7533
119,1.5411,6.1863,2.0727,6.8575,5.8202
120,1.5050,6.2521,2.0941,6.9324,5.8865
121,1.4676,6.3170,2.1152,7.0072,5.9521
122,1.4287,6.3812,2.1321,7.0818,6.0171
123,1.3888,6.4447,2.1479,7.1564,6.0816
124,1.3479,6.5075,2.1614,7.2308,6.1457
125,1.3061,6.5698,2.1768,7.3050,6.2093
126,1.2634,6.6315,2.1974,7.3792,6.2727
127,1.2194,6.6922,2.2185,7.4531,6.3358
128,1.1742,6.7520,2.2354,7.5267,6.3982
129,1.1279,6.8111,2.2528,7.6001,6.4600
130,1.0806,6.8693,2.2694,7.6733,6.5214
131,1.0324,6.9267,2.2846,7.7462,6.5823
132,0.9833,6.9834,2.2997,7.8189,6.6427
133,0.9333,7.0394,2.3131,7.8914,6.7028
134,0.8826,7.0946,2.3297,7.9636,6.7625
135,0.8310,7.1491,2.3473,8.0356,6.8218
136,0.7785,7.2026,2.3637,8.1072,6.8807
137,0.7250,7.2552,2.3770,8.1785,6.9391
138,0.6709,7.3071,2.3889,8.2496,6.9970
139,0.6162,7.3584,2.3994,8.3204,7.0546
140,0.5609,7.4091,2.4161,8.3911,7.1120
141,0.5048,7.4588,2.4317,8.4614,7.1692
142,0.4479,7.5077,2.4494,8.5314,7.2258
143,0.3902,7.5556,2.4698,8.6010,7.2821
144,0.3315,7.6023,2.4870,8.6701,7.3377
145,0.2720,7.6479,2.5072,8.7388,7.3927
146,0.2116,7.6924,2.5228,8.8070,7.4472
147,0.1505,7.7359,2.5360,8.8748,7.5009
148,0.0888,7.7786,2.5502,8.9423,7.5542
149,0.0265,7.8204,2.5679,9.0095,7.6072
150,-0.0365,7.8611,2.5847,9.0761,7.6597
151,-0.1001,7.9007,2.5974,9.1424,7.7117
152,-0.1643,7.9396,2.6068,9.2083,7.7632
153,-0.2288,7.9778,2.6182,9.2740,7.8143
154,-0.2938,8.0153,2.6329,9.3394,7.8653
155,-0.3593,8.0518,2.6435,9.4045,7.9160
156,-0.4252,8.0876,2.6528,9.4693,7.9663
157,-0.4914,8.1228,2.6643,9.5339,8.0164
158,-0.5580,8.1573,2.6776,9.5982,8.0663
159,-0.6251,8.1909,2.6904,9.6621,8.1160
160,-0.6926,8.2236,2.7076,9.7257,8.1653
161,-0.7606,8.2551,2.7244,9.7888,8.2143
162,-0.8292,8.2855,2.7377,9.8514,8.2626
163,-0.8981,8.3150,2.7514,9.9136,8.3104
164,-0.9675,8.3435,2.7674,9.9754,8.3579
165,-1.0373,8.3709,2.7880,10.0366,8.4049
166,-1.1077,8.3969,2.8120,10.0972,8.4514
167,-1.1786,8.4212,2.8313,10.1569,8.4970
168,-1.2501,8.4441,2.8501,10.2159,8.5417
169,-1.3219,8.4656,2.8709,10.2743,8.5856
170,-1.3942,8.4857,2.8882,10.3319,8.6287
171,-1.4668,8.5045,2.9047,10.3889,8.6710
172,-1.5397,8.5221,2.9184,10.4453,8.7127
173,-1.6128,8.5387,2.9360,10.5012,8.7538
174,-1.6862,8.5540,2.9525,10.5565,8.7945
175,-1.7599,8.5681,2.9668,10.6112,8.8345
176,-1.8338,8.5811,2.9833,10.6655,8.8739
177,-1.9078,8.5929,2.9977,10.7191,8.9128
178,-1.9820,8.6037,3.0124,10.7722,8.9511
179,-2.0564,8.6134,3.0318,10.8248,8.9890
180,-2.1310,8.6216,3.0488,10.8766,9.0263
181,-2.2056,8.6285,3.0703,10.9278,9.0629
182,-2.2805,8.6339,3.0959,10.9781,9.0988
183,-2.3554,8.6373,3.1148,11.0272,9.1337
184,-2.4304,8.6393,3.1307,11.0755,9.1675
185,-2.5053,8.6401,3.1508,11.1232,9.2004
186,-2.5803,8.6394,3.1708,11.1701,9.2327
187,-2.6553,8.6372,3.1923,11.2161,9.2642
188,-2.7302,8.6334,3.2117,11.2611,9.2948
189,-2.8050,8.6282,3.2280,11.3053,9.3244
190,-2.8798,8.6217,3.2487,11.3488,9.3532
191,-2.9543,8.6137,3.2735,11.3913,9.3813
192,-3.0287,8.6038,3.2931,11.4327,9.4085
193,-3.1028,8.5925,3.3092,11.4732,9.4345
194,-3.1768,8.5800,3.3219,11.5130,9.4596
195,-3.2505,8.5665,3.3356,11.5523,9.4841
196,-3.3241,8.5521,3.3526,11.5912,9.5082
197,-3.3975,8.5364,3.3670,11.6293,9.5319
198,-3.4706,8.5196,3.3815,11.6668,9.5549
199,-3.5434,8.5018,3.4006,11.7037,9.5773
200,-3.6159,8.4826,3.4164,11.7398,9.5993
201,-3.6881,8.4622,3.4345,11.7752,9.6204
202,-3.7599,8.4406,3.4544,11.8097,9.6409
203,-3.8313,8.4175,3.4766,11.8433,9.6606
204,-3.9021,8.3928,3.4977,11.8758,9.6794
205,-3.9724,8.3667,3.5243,11.9073,9.6972
206,-4.0420,8.3387,3.5458,11.9373,9.7139
207,-4.1109,8.3092,3.5669,11.9662,9.7292
208,-4.1793,8.2782,3.5849,11.9941,9.7435
209,-4.2470,8.2461,3.6025,12.0211,9.7568
210,-4.3142,8.2127,3.6210,12.0473,9.7693
211,-4.3807,8.1781,3.6405,12.0726,9.7810
212,-4.4466,8.1422,3.6638,12.0970,9.7919
213,-4.5116,8.1048,3.6937,12.1201,9.8020
214,-4.5754,8.0655,3.7183,12.1415,9.8108
215,-4.6383,8.0246,3.7441,12.1615,9.8180
216,-4.7001,7.9821,3.7652,12.1801,9.8239
217,-4.7610,7.9383,3.7835,12.1976,9.8284
218,-4.8211,7.8934,3.7991,12.2142,9.8319
219,-4.8804,7.8475,3.8157,12.2301,9.8346
220,-4.9390,7.8007,3.8339,12.2453,9.8366
221,-4.9967,7.7528,3.8502,12.2595,9.8380
222,-5.0537,7.7040,3.8652,12.2729,9.8386
223,-5.1099,7.6544,3.8798,12.2858,9.8385
224,-5.1654,7.6039,3.8986,12.2979,9.8379
225,-5.2199,7.5524,3.9145,12.3091,9.8367
226,-5.2736,7.5000,3.9295,12.3196,9.8347
227,-5.3265,7.4469,3.9455,12.3295,9.8320
228,-5.3785,7.3929,3.9668,12.3385,9.8288
229,-5.4294,7.3378,3.9919,12.3465,9.8250
230,-5.4789,7.2814,4.0116,12.3530,9.8201
231,-5.5273,7.2241,4.0356,12.3585,9.8139
232,-5.5742,7.1656,4.0576,12.3627,9.8067
233,-5.6199,7.1061,4.0758,12.3656,9.7984
234,-5.6645,7.0458,4.0916,12.3677,9.7889
235,-5.7081,6.9848,4.1067,12.3690,9.7787
236,-5.7508,6.9231,4.1221,12.3697,9.7678
237,-5.7926,6.8608,4.1390,12.3696,9.7564
238,-5.8332,6.7978,4.1571,12.3688,9.7444
239,-5.8728,6.7341,4.1741,12.3670,9.7316
240,-5.9112,6.6697,4.1917,12.3644,9.7181
241,-5.9485,6.6046,4.2113,12.3610,9.7039
242,-5.9846,6.5389,4.2322,12.3565,9.6889
243,-6.0192,6.4724,4.2503,12.3509,9.6731
244,-6.0526,6.4052,4.2695,12.3444,9.6562
245,-6.0848,6.3375,4.2891,12.3370,9.6386
246,-6.1156,6.2691,4.3106,12.3285,9.6201
247,-6.1449,6.2000,4.3302,12.3189,9.6008
248,-6.1729,6.1305,4.3501,12.3083,9.5804
249,-6.1995,6.0603,4.3682,12.2966,9.5591
250,-6.2248,5.9897,4.3817,12.2840,9.5369
251,-6.2491,5.9188,4.3960,12.2709,9.5140
252,-6.2725,5.8475,4.4087,12.2572,9.4906
253,-6.2949,5.7759,4.4247,12.2430,9.4667
254,-6.3162,5.7040,4.4450,12.2281,9.4425
255,-6.3360,5.6317,4.4664,12.2121,9.4176
256,-6.3543,5.5589,4.4838,12.1950,9.3918
257,-6.3713,5.4859,4.4962,12.1770,9.3650
258,-6.3874,5.4126,4.5074,12.1586,9.3375
259,-6.4026,5.3392,4.5171,12.1398,9.3097
260,-6.4172,5.2656,4.5299,12.1207,9.2816
261,-6.4308,5.1919,4.5415,12.1011,9.2533
262,-6.4435,5.1180,4.5579,12.0812,9.2247
263,-6.4551,5.0439,4.5735,12.0604,9.1957
264,-6.4654,4.9696,4.5898,12.0390,9.1662
265,-6.4746,4.8952,4.6027,12.0169,9.1360
266,-6.4828,4.8206,4.6249,11.9942,9.1053
267,-6.4894,4.7459,4.6436,11.9704,9.0741
268,-6.4945,4.6711,4.6667,11.9457,9.0420
269,-6.4980,4.5961,4.6872,11.9197,9.0091
270,-6.4999,4.5212,4.7053,11.8928,8.9751
271,-6.5004,4.4462,4.7218,11.8649,8.9403
272,-6.4997,4.3712,4.7396,11.8364,8.9047
273,-6.4976,4.2962,4.7541,11.8070,8.8685
274,-6.4945,4.2213,4.7701,11.7770,8.8316
275,-6.4902,4.1464,4.7864,11.7464,8.7943
276,-6.4846,4.0716,4.8015,11.7150,8.7564
277,-6.4780,3.9969,4.8166,11.6829,8.7178
278,-6.4702,3.9223,4.8363,11.6503,8.6788
279,-6.4609,3.8479,4.8589,11.6167,8.6393
280,-6.4499,3.7737,4.8811,11.5820,8.5990
281,-6.4374,3.6997,4.9021,11.5462,8.5577
282,-6.4232,3.6261,4.9239,11.5093,8.5155
283,-6.4075,3.5528,4.9464,11.4715,8.4724
284,-6.3901,3.4798,4.9707,11.4325,8.4284
285,-6.3709,3.4073,4.9979,11.3924,8.3835
286,-6.3498,3.3353,5.0251,11.3509,8.3375
287,-6.3267,3.2640,5.0512,11.3080,8.2904
288,-6.3018,3.1932,5.0716,11.2639,8.2421
289,-6.2754,3.1230,5.0883,11.2189,8.1926
290,-6.2479,3.0533,5.1036,11.1732,8.1424
291,-6.2193,2.9839,5.1202,11.1269,8.0917
292,-6.1895,2.9151,5.1381,11.0799,8.0404
293,-6.1586,2.8468,5.1542,11.0322,7.9886
294,-6.1265,2.7790,5.1673,10.9839,7.9362
295,-6.0935,2.7116,5.1824,10.9351,7.8833
296,-6.0596,2.6447,5.2014,10.8857,7.8301
297,-6.0244,2.5785,5.2209,10.8356,7.7764
298,-5.9878,2.5130,5.2403,10.7847,7.7221
