step,raw_vx,raw_wz,safe_vx,safe_wz,intervened,inference_ms,cbf_ms
0,0.3000,0.0539,0.0900,0.0162,0,11.41,0.06
1,0.3000,0.0308,0.1530,0.0205,0,11.54,0.07
2,0.3000,0.0367,0.1971,0.0254,0,11.36,0.06
3,0.3000,0.0884,0.2280,0.0443,0,10.85,0.06
4,0.3000,0.0394,0.2496,0.0428,0,11.49,0.06
5,0.3000,0.0359,0.2647,0.0407,0,11.49,0.06
6,0.3000,0.0352,0.2753,0.0391,0,11.05,0.06
7,0.3000,0.0829,0.2827,0.0522,0,11.72,0.06
8,0.3000,0.0572,0.2879,0.0537,0,11.51,0.06
9,0.3000,0.0105,0.2915,0.0407,0,11.66,0.07
10,0.3000,0.0526,0.2941,0.0443,0,11.16,0.06
11,0.3000,0.0214,0.2958,0.0374,0,11.59,0.06
12,0.3000,0.0695,0.2971,0.0471,0,11.00,0.06
13,0.3000,0.0246,0.2980,0.0403,0,10.77,0.06
14,0.3000,0.0965,0.2986,0.0572,0,10.70,0.05
15,0.3000,0.0299,0.2990,0.0490,0,10.64,0.05
16,0.3000,0.0186,0.2993,0.0399,0,10.46,0.05
17,0.3000,0.0373,0.2995,0.0391,0,10.83,0.06
18,0.3000,0.0658,0.2997,0.0471,0,10.69,0.05
19,0.3000,0.0619,0.2998,0.0516,0,10.50,0.05
20,0.3000,0.1056,0.2998,0.0678,0,10.61,0.05
21,0.3000,0.0732,0.2999,0.0694,0,10.57,0.06
22,0.3000,0.0578,0.2999,0.0659,0,10.44,0.05
23,0.3000,0.0735,0.2999,0.0682,0,10.81,0.05
24,0.3000,0.0745,0.3000,0.0701,0,10.79,0.06
25,0.3000,0.1518,0.3000,0.0946,0,10.71,0.05
26,0.3000,0.0935,0.3000,0.0943,0,10.76,0.05
27,0.3000,0.0752,0.3000,0.0885,0,10.71,0.06
28,0.3000,0.0398,0.3000,0.0739,0,10.70,0.05
29,0.3000,0.0441,0.3000,0.0650,0,10.67,0.05
30,0.3000,0.0632,0.3000,0.0645,0,10.59,0.05
31,0.3000,0.0952,0.3000,0.0737,0,10.60,0.05
32,0.3000,0.1040,0.3000,0.0828,0,10.80,0.06
33,0.3000,0.0958,0.3000,0.0867,0,10.67,0.05
34,0.3000,0.1245,0.3000,0.0980,0,10.56,0.05
35,0.3000,0.0605,0.3000,0.0868,0,10.59,0.05
36,0.3000,0.0146,0.3000,0.0651,0,10.40,0.05
37,0.3000,0.0191,0.3000,0.0513,0,10.53,0.05
38,0.3000,0.0353,0.3000,0.0465,0,10.46,0.05
39,0.3000,0.0541,0.3000,0.0488,0,10.54,0.05
40,0.3000,0.0231,0.3000,0.0411,0,10.49,0.05
41,0.3000,0.0325,0.3000,0.0385,0,10.42,0.05
42,0.3000,0.0749,0.3000,0.0494,0,10.36,0.05
43,0.3000,0.0788,0.3000,0.0583,0,10.59,0.05
44,0.3000,0.0053,0.3000,0.0424,0,10.46,0.05
45,0.3000,0.0688,0.3000,0.0503,0,10.50,0.05
46,0.3000,0.0848,0.3000,0.0606,0,10.51,0.05
47,0.3000,0.0744,0.3000,0.0648,0,10.47,0.05
48,0.3000,0.1288,0.3000,0.0840,0,10.45,0.05
49,0.3000,0.1432,0.3000,0.1017,0,10.74,0.05
50,0.3000,0.0912,0.3000,0.0986,0,10.79,0.06
51,0.3000,0.0899,0.3000,0.0960,0,10.63,0.05
52,0.3000,0.0883,0.3000,0.0937,0,10.93,0.05
53,0.3000,0.0718,0.3000,0.0871,0,10.62,0.05
54,0.3000,0.0635,0.3000,0.0800,0,10.47,0.05
55,0.3000,0.0764,0.3000,0.0789,0,11.32,0.06
56,0.3000,0.0742,0.3000,0.0775,0,10.96,0.06
57,0.3000,0.0277,0.3000,0.0626,0,10.65,0.05
58,0.3000,0.0572,0.3000,0.0610,0,10.99,0.06
59,0.3000,0.0258,0.3000,0.0504,0,11.34,0.06
60,0.3000,0.0480,0.3000,0.0497,0,10.78,0.06
61,0.3000,0.0441,0.3000,0.0480,0,11.22,0.06
62,0.3000,0.0624,0.3000,0.0523,0,10.87,0.06
63,0.3000,0.0840,0.3000,0.0618,0,10.69,0.06
64,0.3000,0.0754,0.3000,0.0659,0,10.83,0.06
65,0.3000,0.1416,0.3000,0.0886,0,10.71,0.06
66,0.3000,0.1021,0.3000,0.0926,0,10.59,0.06
67,0.3000,0.0408,0.3000,0.0771,0,10.97,0.06
68,0.3000,0.0792,0.3000,0.0777,0,10.91,0.06
69,0.3000,0.0393,0.3000,0.0662,0,10.58,0.06
70,0.3000,0.0259,0.3000,0.0541,0,10.98,0.05
71,0.3000,0.1119,0.3000,0.0715,0,10.79,0.06
72,0.3000,0.0793,0.3000,0.0738,0,10.72,0.06
73,0.3000,0.0416,0.3000,0.0641,0,10.84,0.05
74,0.3000,0.0472,0.3000,0.0591,0,10.73,0.06
75,0.3000,0.0340,0.3000,0.0516,0,10.54,0.06
76,0.3000,0.0540,0.3000,0.0523,0,10.86,0.05
77,0.3000,0.0664,0.3000,0.0565,0,10.82,0.06
