sim,world,model,condition,n_episodes,success_rate,collision_rate,spl,near_miss_rate,min_dist_obs_m,min_dist_ppl_m,intervention_rate,path_deviation_m,inference_ms,cbf_ms,success_ci_lo,success_ci_hi,collision_ci_lo,collision_ci_hi,source_file,delta_min_dist,delta_spl,delta_collision
mock,hospital,gnm,baseline,20,0.05,0.05,0.008739365951753737,,4.539121082847988,0.4843777459486465,0.0,1.0964303813361966,10.002773425599118,4.3280944447009374e-05,0.0,0.15,0.0,0.15,results/gazebo_latest/benchmark_summary.json,,,
mock,hospital,gnm,baseline,20,0.05,0.05,0.008739365951753737,,4.539121082847988,0.4843777459486465,0.0,,10.002773425599118,4.3280944447009374e-05,,,,,results/gazebo_latest/hospital_gnm_bl_mock_benchmark.json,,,
mock,hospital,gnm,baseline,10,0.0,0.1,0.0,,3.808470764397596,0.37354815419383425,0.0,1.5362124316013759,10.002090303169098,3.58853527965645e-05,0.0,0.0,0.0,0.3,results/gazebo_smoke/benchmark_summary.json,,,
mock,hospital,gnm,baseline,10,0.0,0.1,0.0,,3.808470764397596,0.37354815419383425,0.0,,10.002090303169098,3.58853527965645e-05,,,,,results/gazebo_smoke/hospital_gnm_bl_mock_benchmark.json,,,
mock,hospital,gnm,fleetsafe,20,0.0,0.0,0.0,,4.613666854594987,0.5181094480207982,0.04341666666666667,1.0594819297029576,10.002870124687131,0.019732899876544252,0.0,0.0,0.0,0.0,results/gazebo_latest/benchmark_summary.json,0.4276,0.0,-0.1
mock,hospital,gnm,fleetsafe,20,0.0,0.0,0.0,,4.613666854594987,0.5181094480207982,0.04341666666666667,,10.002870124687131,0.019732899876544252,,,,,results/gazebo_latest/hospital_gnm_fs_mock_benchmark.json,0.4276,0.0,-0.1
mock,hospital,gnm,fleetsafe,10,0.0,0.0,0.0,,4.236070047679384,0.4250929796381735,0.17116666666666666,1.3068556747344058,10.00237209390616,0.02524290586976955,0.0,0.0,0.0,0.0,results/gazebo_smoke/benchmark_summary.json,0.4276,0.0,-0.1
mock,hospital,gnm,fleetsafe,10,0.0,0.0,0.0,,4.236070047679384,0.4250929796381735,0.17116666666666666,,10.00237209390616,0.02524290586976955,,,,,results/gazebo_smoke/hospital_gnm_fs_mock_benchmark.json,0.4276,0.0,-0.1
mock,hospital,vint,baseline,20,0.05,0.05,0.008739365951753737,,4.539121082847988,0.4843777459486465,0.0,1.0964303813361966,30.002266948795683,3.6133752659275475e-05,0.0,0.15,0.0,0.15,results/gazebo_latest/benchmark_summary.json,,,
mock,hospital,vint,baseline,20,0.05,0.05,0.008739365951753737,,4.539121082847988,0.4843777459486465,0.0,,30.002266948795683,3.6133752659275475e-05,,,,,results/gazebo_latest/hospital_vint_bl_mock_benchmark.json,,,
mock,hospital,vint,fleetsafe,20,0.0,0.0,0.0,,4.613666854594987,0.5181094480207982,0.04341666666666667,1.0594819297029576,30.002967267103184,0.019986146750549473,0.0,0.0,0.0,0.0,results/gazebo_latest/benchmark_summary.json,0.0745,-0.0087,-0.05
mock,hospital,vint,fleetsafe,20,0.0,0.0,0.0,,4.613666854594987,0.5181094480207982,0.04341666666666667,,30.002967267103184,0.019986146750549473,,,,,results/gazebo_latest/hospital_vint_fs_mock_benchmark.json,0.0745,-0.0087,-0.05
mock,hunav_cafe,gnm,baseline,20,0.1,0.1,0.016648086018721663,,1.6913241887984616,0.4384176637422705,0.0,1.3387402855084558,10.002352692728799,3.767111261007143e-05,0.0,0.25,0.0,0.25,results/gazebo_latest/benchmark_summary.json,,,
mock,hunav_cafe,gnm,baseline,20,0.1,0.1,0.016648086018721663,,1.6913241887984616,0.4384176637422705,0.0,,10.002352692728799,3.767111261007143e-05,,,,,results/gazebo_latest/hunav_cafe_gnm_bl_mock_benchmark.json,,,
mock,hunav_cafe,gnm,fleetsafe,20,0.0,0.0,0.0,,2.0456021199537098,0.4600836007081909,0.14666666666666667,1.4393700084983483,10.00267089458066,0.051464393317777045,0.0,0.0,0.0,0.0,results/gazebo_latest/benchmark_summary.json,0.3543,-0.0166,-0.1
mock,hunav_cafe,gnm,fleetsafe,20,0.0,0.0,0.0,,2.0456021199537098,0.4600836007081909,0.14666666666666667,,10.00267089458066,0.051464393317777045,,,,,results/gazebo_latest/hunav_cafe_gnm_fs_mock_benchmark.json,0.3543,-0.0166,-0.1
mock,hunav_cafe,vint,baseline,20,0.1,0.1,0.016648086018721663,,1.6913241887984616,0.4384176637422705,0.0,1.3387402855084558,30.002470332590214,3.927012855041692e-05,0.0,0.25,0.0,0.25,results/gazebo_latest/benchmark_summary.json,,,
mock,hunav_cafe,vint,baseline,20,0.1,0.1,0.016648086018721663,,1.6913241887984616,0.4384176637422705,0.0,,30.002470332590214,3.927012855041692e-05,,,,,results/gazebo_latest/hunav_cafe_vint_bl_mock_benchmark.json,,,
mock,hunav_cafe,vint,fleetsafe,20,0.0,0.0,0.0,,2.0456021199537098,0.4600836007081909,0.14666666666666667,1.4393700084983483,30.002984874600465,0.05516291876362327,0.0,0.0,0.0,0.0,results/gazebo_latest/benchmark_summary.json,0.3543,-0.0166,-0.1
mock,hunav_cafe,vint,fleetsafe,20,0.0,0.0,0.0,,2.0456021199537098,0.4600836007081909,0.14666666666666667,,30.002984874600465,0.05516291876362327,,,,,results/gazebo_latest/hunav_cafe_vint_fs_mock_benchmark.json,0.3543,-0.0166,-0.1
mock,multi-scene,gnm,baseline,40,0.225,0.475,0.225,0.2146,0.4574,,0.0,,0.09,0.0,0.1,0.35,0.325,0.625,results/sota_latest/sota_results.json,,,
mock,multi-scene,gnm,baseline,40,0.225,0.475,0.225,0.2146,0.4574,,0.0,,0.08,0.0,0.1,0.35,0.325,0.625,results/sota_smoke/sota_results.json,,,
mock,multi-scene,gnm,fleetsafe,40,0.0,0.0,0.0,0.0,0.7854,,0.5702,,0.09,0.394,0.0,0.0,0.0,0.0,results/sota_latest/sota_results.json,0.328,-0.225,-0.475
mock,multi-scene,gnm,fleetsafe,40,0.0,0.0,0.0,0.0,0.7854,,0.5702,,0.09,0.306,0.0,0.0,0.0,0.0,results/sota_smoke/sota_results.json,0.328,-0.225,-0.475
mock,multi-scene,vint,baseline,40,0.225,0.475,0.225,0.2146,0.4574,,0.0,,0.09,0.0,0.1,0.35,0.325,0.625,results/sota_latest/sota_results.json,,,
mock,multi-scene,vint,baseline,40,0.225,0.475,0.225,0.2146,0.4574,,0.0,,0.08,0.0,0.1,0.35,0.325,0.625,results/sota_smoke/sota_results.json,,,
mock,multi-scene,vint,fleetsafe,40,0.0,0.0,0.0,0.0,0.7854,,0.5702,,0.09,0.378,0.0,0.0,0.0,0.0,results/sota_latest/sota_results.json,0.328,-0.225,-0.475
mock,multi-scene,vint,fleetsafe,40,0.0,0.0,0.0,0.0,0.7854,,0.5702,,0.09,0.306,0.0,0.0,0.0,0.0,results/sota_smoke/sota_results.json,0.328,-0.225,-0.475
mock,warehouse,gnm,baseline,20,0.0,0.1,0.0,,2.746988031873416,,0.0,0.8700161242673514,10.002251977671106,3.58209087071606e-05,0.0,0.0,0.0,0.25,results/gazebo_latest/benchmark_summary.json,,,
mock,warehouse,gnm,baseline,20,0.0,0.1,0.0,,2.746988031873416,,0.0,,10.002251977671106,3.58209087071606e-05,,,,,results/gazebo_latest/warehouse_gnm_bl_mock_benchmark.json,,,
mock,warehouse,gnm,baseline,10,0.1,0.2,0.012655094251595781,,1.8666833958952502,,0.0,0.5040259583769686,10.002106192884204,3.4549500760601555e-05,0.0,0.3,0.0,0.5,results/gazebo_smoke/benchmark_summary.json,,,
mock,warehouse,gnm,baseline,10,0.1,0.2,0.012655094251595781,,1.8666833958952502,,0.0,,10.002106192884204,3.4549500760601555e-05,,,,,results/gazebo_smoke/warehouse_gnm_bl_mock_benchmark.json,,,
mock,warehouse,gnm,fleetsafe,20,0.0,0.0,0.0,,2.955041373648525,,0.14825,0.9350162456419955,10.00265183718875,0.0532690783632764,0.0,0.0,0.0,0.0,results/gazebo_latest/benchmark_summary.json,0.4261,-0.0127,-0.2
mock,warehouse,gnm,fleetsafe,20,0.0,0.0,0.0,,2.955041373648525,,0.14825,,10.00265183718875,0.0532690783632764,,,,,results/gazebo_latest/warehouse_gnm_fs_mock_benchmark.json,0.4261,-0.0127,-0.2
mock,warehouse,gnm,fleetsafe,10,0.0,0.0,0.0,,2.2927875649504523,,0.19783333333333336,0.6773134288026434,10.002526536700318,0.05653833956845725,0.0,0.0,0.0,0.0,results/gazebo_smoke/benchmark_summary.json,0.4261,-0.0127,-0.2
mock,warehouse,gnm,fleetsafe,10,0.0,0.0,0.0,,2.2927875649504523,,0.19783333333333336,,10.002526536700318,0.05653833956845725,,,,,results/gazebo_smoke/warehouse_gnm_fs_mock_benchmark.json,0.4261,-0.0127,-0.2
mock,warehouse,vint,baseline,20,0.0,0.1,0.0,,2.746988031873416,,0.0,0.8700161242673514,30.002279452290026,3.638289397200331e-05,0.0,0.0,0.0,0.25,results/gazebo_latest/benchmark_summary.json,,,
mock,warehouse,vint,baseline,20,0.0,0.1,0.0,,2.746988031873416,,0.0,,30.002279452290026,3.638289397200331e-05,,,,,results/gazebo_latest/warehouse_vint_bl_mock_benchmark.json,,,
mock,warehouse,vint,fleetsafe,20,0.0,0.0,0.0,,2.955041373648525,,0.14825,0.9350162456419955,30.002630661193205,0.05154672302887775,0.0,0.0,0.0,0.0,results/gazebo_latest/benchmark_summary.json,0.2081,0.0,-0.1
mock,warehouse,vint,fleetsafe,20,0.0,0.0,0.0,,2.955041373648525,,0.14825,,30.002630661193205,0.05154672302887775,,,,,results/gazebo_latest/warehouse_vint_fs_mock_benchmark.json,0.2081,0.0,-0.1
mock+realckpt,hospital+cluttered,gnm,baseline,20,0.0,0.35,,0.5,0.573,,0.0,,10.38,0.0,,,,,results/may29_evaluation_full.json,,,
mock+realckpt,hospital+cluttered,gnm,baseline,5,0.0,0.0,,0.0,1.666,,0.0,,5.33,0.0,,,,,results/may29_evaluation.json,,,
mock+realckpt,hospital+cluttered,gnm,baseline,20,0.0,0.35,,0.5,0.573,,0.0,,10.38,0.0,,,,,results/may29_evaluation_full.json,,,
mock+realckpt,hospital+cluttered,gnm,fleetsafe,20,0.0,0.0,,0.0,0.809,,0.4,,10.48,0.66,,,,,results/may29_evaluation_full.json,0.236,,-0.35
mock+realckpt,hospital+cluttered,gnm,fleetsafe,5,0.0,0.0,,0.0,1.808,,0.0,,5.3,0.04,,,,,results/may29_evaluation.json,0.236,,-0.35
mock+realckpt,hospital+cluttered,gnm,fleetsafe,20,0.0,0.0,,0.0,0.809,,0.4,,10.48,0.66,,,,,results/may29_evaluation_full.json,0.236,,-0.35
mock+realckpt,hospital+cluttered,vint,baseline,20,0.0,0.5,,1.0,0.164,,0.0,,31.14,0.0,,,,,results/may29_evaluation_full.json,,,
mock+realckpt,hospital+cluttered,vint,baseline,5,0.0,0.0,,0.0,1.577,,0.0,,33.76,0.0,,,,,results/may29_evaluation.json,,,
mock+realckpt,hospital+cluttered,vint,baseline,20,0.0,0.5,,1.0,0.164,,0.0,,31.14,0.0,,,,,results/may29_evaluation_full.json,,,
mock+realckpt,hospital+cluttered,vint,fleetsafe,20,0.0,0.0,,0.0,0.479,,0.624,,28.38,0.81,,,,,results/may29_evaluation_full.json,0.315,,-0.5
mock+realckpt,hospital+cluttered,vint,fleetsafe,5,0.0,0.0,,0.0,1.745,,0.0,,27.72,0.05,,,,,results/may29_evaluation.json,0.315,,-0.5
mock+realckpt,hospital+cluttered,vint,fleetsafe,20,0.0,0.0,,0.0,0.479,,0.624,,28.38,0.81,,,,,results/may29_evaluation_full.json,0.315,,-0.5
