episode_id,scene_id,method,success_radius,final_distance_to_goal,minimum_distance_to_goal,success_flag,oracle_success_flag,navigation_error,source_file,source_command
kujiale_0092_kujiale_0092_91_1,kujiale_0092,baseline_gnm,3.0,4.28,4.02,False,False,4.28,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0092_kujiale_0092_9_2,kujiale_0092,baseline_gnm,3.0,2.82,2.82,True,True,2.82,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0118_kujiale_0118_25_3,kujiale_0118,baseline_gnm,3.0,7.29,3.51,False,False,7.29,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0118_kujiale_0118_31_0,kujiale_0118,baseline_gnm,3.0,3.52,3.45,False,False,3.52,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0118_kujiale_0118_40_4,kujiale_0118,baseline_gnm,3.0,12.58,9.95,False,False,12.58,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_15_3,kujiale_0203,baseline_gnm,3.0,5.64,4.84,False,False,5.64,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_16_3,kujiale_0203,baseline_gnm,3.0,12.09,5.17,False,False,12.09,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_22_4,kujiale_0203,baseline_gnm,3.0,7.83,5.71,False,False,7.83,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_25_0,kujiale_0203,baseline_gnm,3.0,4.55,1.4,False,True,4.55,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_32_2,kujiale_0203,baseline_gnm,3.0,5.74,1.74,False,True,5.74,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_43_1,kujiale_0203,baseline_gnm,3.0,2.26,2.26,True,True,2.26,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_49_3,kujiale_0203,baseline_gnm,3.0,2.0,1.73,True,True,2.0,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0271_kujiale_0271_15_1,kujiale_0271,baseline_gnm,3.0,5.45,1.7,False,True,5.45,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0271_kujiale_0271_24_4,kujiale_0271,baseline_gnm,3.0,7.12,6.37,False,False,7.12,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0271_kujiale_0271_7_3,kujiale_0271,baseline_gnm,3.0,14.48,2.18,False,True,14.48,results/research_audit/tracka_per_episode_metric_provenance.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0092_kujiale_0092_91_1,kujiale_0092,hand_tuned_waypoint_gate,3.0,7.7083,7.7083,False,False,7.7083,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0092_kujiale_0092_9_2,kujiale_0092,hand_tuned_waypoint_gate,3.0,7.6756,7.6756,False,False,7.6756,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0118_kujiale_0118_25_3,kujiale_0118,hand_tuned_waypoint_gate,3.0,3.5273,3.5273,False,False,3.5273,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0118_kujiale_0118_31_0,kujiale_0118,hand_tuned_waypoint_gate,3.0,6.5873,6.5873,False,False,6.5873,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0118_kujiale_0118_40_4,kujiale_0118,hand_tuned_waypoint_gate,3.0,9.9533,9.9533,False,False,9.9533,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_15_3,kujiale_0203,hand_tuned_waypoint_gate,3.0,5.3299,5.3299,False,False,5.3299,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_16_3,kujiale_0203,hand_tuned_waypoint_gate,3.0,5.4902,5.4902,False,False,5.4902,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_22_4,kujiale_0203,hand_tuned_waypoint_gate,3.0,5.845,5.845,False,False,5.845,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_25_0,kujiale_0203,hand_tuned_waypoint_gate,3.0,2.3785,2.3785,True,True,2.3785,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
kujiale_0203_kujiale_0203_32_2,kujiale_0203,hand_tuned_waypoint_gate,3.0,2.1509,2.1509,True,True,2.1509,results/bo_reviewer_packet/deployable_stop_policy/17_deployable_stop_policy_details.csv,python3 scripts/gnm/generate_all_methods_provenance.py
