episode_id,scene_id,method,initial_distance_to_goal,final_distance_to_goal,minimum_distance_to_goal,trajectory_length,steps,success_radius,success_flag_source,oracle_success_flag_source
kujiale_0092_kujiale_0092_91_1,kujiale_0092,baseline_gnm,8.08,4.28,4.02,8.46,51,3.0,no,no
kujiale_0092_kujiale_0092_9_2,kujiale_0092,baseline_gnm,8.93,2.82,2.82,6.98,39,3.0,yes,yes
kujiale_0118_kujiale_0118_25_3,kujiale_0118,baseline_gnm,3.63,7.29,3.51,7.36,50,3.0,no,no
kujiale_0118_kujiale_0118_31_0,kujiale_0118,baseline_gnm,7.92,3.52,3.45,7.8,51,3.0,no,no
kujiale_0118_kujiale_0118_40_4,kujiale_0118,baseline_gnm,10.31,12.58,9.95,10.39,69,3.0,no,no
kujiale_0203_kujiale_0203_15_3,kujiale_0203,baseline_gnm,5.56,5.64,4.84,5.59,41,3.0,no,no
kujiale_0203_kujiale_0203_16_3,kujiale_0203,baseline_gnm,5.17,12.09,5.17,7.34,54,3.0,no,no
kujiale_0203_kujiale_0203_22_4,kujiale_0203,baseline_gnm,5.93,7.83,5.71,6.91,62,3.0,no,no
kujiale_0203_kujiale_0203_25_0,kujiale_0203,baseline_gnm,2.76,4.55,1.4,6.71,47,3.0,no,yes
kujiale_0203_kujiale_0203_32_2,kujiale_0203,baseline_gnm,2.45,5.74,1.74,7.19,59,3.0,no,yes
kujiale_0203_kujiale_0203_43_1,kujiale_0203,baseline_gnm,6.39,2.26,2.26,4.65,44,3.0,yes,yes
kujiale_0203_kujiale_0203_49_3,kujiale_0203,baseline_gnm,6.54,2.0,1.73,7.32,63,3.0,yes,yes
kujiale_0271_kujiale_0271_15_1,kujiale_0271,baseline_gnm,6.71,5.45,1.7,11.67,67,3.0,no,yes
kujiale_0271_kujiale_0271_24_4,kujiale_0271,baseline_gnm,9.12,7.12,6.37,9.74,61,3.0,no,no
kujiale_0271_kujiale_0271_7_3,kujiale_0271,baseline_gnm,2.18,14.48,2.18,13.1,74,3.0,no,yes
