method,scene_id,n_episodes,sr_pct,osr_pct,ne_m,sr_ci95_lo,sr_ci95_hi,ne_ci95_lo,ne_ci95_hi
baseline_gnm,kujiale_0092,2,50.0,50.0,3.55,0.0,100.0,2.82,4.28
baseline_gnm,kujiale_0118,3,0.0,0.0,7.8,0.0,0.0,3.52,12.58
baseline_gnm,kujiale_0203,7,28.6,57.1,5.73,0.0,57.1,3.53,8.2
baseline_gnm,kujiale_0271,3,0.0,66.7,9.02,0.0,0.0,5.45,14.48
hand_tuned_waypoint_gate,kujiale_0092,2,0.0,0.0,7.69,0.0,0.0,7.68,7.71
hand_tuned_waypoint_gate,kujiale_0118,3,0.0,0.0,6.69,0.0,0.0,3.53,9.95
hand_tuned_waypoint_gate,kujiale_0203,7,28.6,28.6,4.76,0.0,57.1,3.62,5.84
hand_tuned_waypoint_gate,kujiale_0271,3,66.7,66.7,3.78,0.0,100.0,1.78,7.11
logistic_stop_head,kujiale_0092,2,50.0,50.0,3.55,0.0,100.0,2.82,4.28
logistic_stop_head,kujiale_0118,3,0.0,0.0,7.79,0.0,0.0,3.52,12.58
logistic_stop_head,kujiale_0203,7,28.6,57.1,5.73,0.0,57.1,3.53,8.2
logistic_stop_head,kujiale_0271,3,0.0,66.7,9.02,0.0,0.0,5.45,14.48
temporal_neural_stop_head,kujiale_0092,2,0.0,0.0,3.85,0.0,0.0,3.64,4.06
temporal_neural_stop_head,kujiale_0118,3,0.0,0.0,6.58,0.0,0.0,3.52,12.58
temporal_neural_stop_head,kujiale_0203,7,42.9,42.9,3.89,14.3,85.7,2.53,5.27
temporal_neural_stop_head,kujiale_0271,3,66.7,66.7,4.13,0.0,100.0,1.7,8.25
geometry_aware_oracle,kujiale_0092,2,50.0,50.0,3.42,0.0,100.0,2.82,4.02
geometry_aware_oracle,kujiale_0118,3,0.0,0.0,5.64,0.0,0.0,3.45,9.95
geometry_aware_oracle,kujiale_0203,7,57.1,57.1,3.26,14.3,85.7,2.08,4.6
geometry_aware_oracle,kujiale_0271,3,66.7,66.7,3.42,0.0,100.0,1.7,6.37
